,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,88178190.0,84830679.0,78463599.0,70700885.0,
Share Issued,88178190.0,84830679.0,78463599.0,70700885.0,
Net Debt,2044120000.0,1742261000.0,1949981000.0,1763427000.0,
Total Debt,2122371000.0,1802344000.0,1999102000.0,1796056000.0,
Tangible Book Value,2797838000.0,2477399000.0,2108586000.0,1788846000.0,
Invested Capital,4920209000.0,4279743000.0,4107688000.0,3584902000.0,
Net Tangible Assets,2797838000.0,2477399000.0,2108586000.0,1788846000.0,
Common Stock Equity,2797838000.0,2477399000.0,2108586000.0,1788846000.0,
Total Capitalization,4920209000.0,4279743000.0,4107688000.0,3584902000.0,
Total Equity Gross Minority Interest,2797838000.0,2477399000.0,2108586000.0,1788846000.0,
Stockholders Equity,2797838000.0,2477399000.0,2108586000.0,1788846000.0,
Retained Earnings,402462000.0,206002000.0,77271000.0,51793000.0,
Additional Paid In Capital,2394492000.0,2270549000.0,2030531000.0,1736346000.0,
Capital Stock,884000.0,848000.0,784000.0,707000.0,
Common Stock,884000.0,848000.0,784000.0,707000.0,
Total Liabilities Net Minority Interest,2323503000.0,1966171000.0,2133299000.0,1901444000.0,
Long Term Debt And Capital Lease Obligation,2122371000.0,1802344000.0,1999102000.0,1796056000.0,
Payables,115021000.0,99969000.0,86348000.0,75665000.0,
Accounts Payable,115021000.0,99969000.0,86348000.0,75665000.0,
Total Assets,5121341000.0,4443570000.0,4241885000.0,3690290000.0,
Investments And Advances,4932669000.0,4286271000.0,4102177000.0,3561831000.0,
Investmentin Financial Assets,4932669000.0,4286271000.0,4102177000.0,3561831000.0,
Available For Sale Securities,,,,,1113725000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,4932669000.0,4286271000.0,4102177000.0,3561831000.0,
Long Term Equity Investment,,,,,1113725000.0
Receivables,98084000.0,89337000.0,83112000.0,91613000.0,
Cash And Cash Equivalents,78251000.0,60083000.0,49121000.0,32629000.0,
Cash Cash Equivalents And Federal Funds Sold,78251000.0,60083000.0,49121000.0,32629000.0,
