,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,461517000.0,235857000.0,1099649000.0,216847000.0,
Repurchase Of Capital Stock,-11408000.0,-37431000.0,-546000.0,-148798000.0,
Repayment Of Debt,-11558563000.0,-10826634000.0,-13267276000.0,-14322526000.0,
Issuance Of Debt,9490274000.0,9243451000.0,14736222000.0,20594865000.0,
Issuance Of Capital Stock,10030000.0,193661000.0,486257000.0,1070592000.0,
Interest Paid Supplemental Data,782047000.0,861141000.0,486826000.0,175912000.0,
Income Tax Paid Supplemental Data,28813000.0,30129000.0,27560000.0,37797000.0,
End Cash Position,660179000.0,1537207000.0,1248165000.0,891270000.0,
Beginning Cash Position,1537207000.0,1248165000.0,891270000.0,536998000.0,
Changes In Cash,-877028000.0,289042000.0,356895000.0,354272000.0,
Financing Cash Flow,-2490314000.0,-1825793000.0,1574368000.0,6887679000.0,
Cash Flow From Continuing Financing Activities,-2490314000.0,-1825793000.0,1574368000.0,6887679000.0,
Net Other Financing Charges,-25804000.0,-18200000.0,-58550000.0,-79392000.0,
Cash Dividends Paid,-394843000.0,-380640000.0,-321739000.0,-227062000.0,
Preferred Stock Dividend Paid,,,,,-7564000.0
Common Stock Dividend Paid,-394843000.0,-380640000.0,-321739000.0,-227062000.0,
Net Preferred Stock Issuance,0.0,0.0,77522000.0,463210000.0,
Preferred Stock Payments,,0.0,0.0,-92789000.0,0.0
Preferred Stock Issuance,0.0,0.0,77522000.0,555999000.0,
Net Common Stock Issuance,-1378000.0,156230000.0,408189000.0,458584000.0,
Common Stock Payments,-11408000.0,-37431000.0,-546000.0,-56009000.0,
Common Stock Issuance,10030000.0,193661000.0,408735000.0,514593000.0,
Net Issuance Payments Of Debt,-2068289000.0,-1583183000.0,1468946000.0,6272339000.0,
Net Long Term Debt Issuance,-2068289000.0,-1583183000.0,1468946000.0,6272339000.0,
Long Term Debt Payments,-11558563000.0,-10826634000.0,-13267276000.0,-14322526000.0,
Long Term Debt Issuance,9490274000.0,9243451000.0,14736222000.0,20594865000.0,
Investing Cash Flow,1151769000.0,1878978000.0,-2317122000.0,-6750254000.0,
Cash Flow From Continuing Investing Activities,1151769000.0,1878978000.0,-2317122000.0,-6750254000.0,
Net Other Investing Changes,25792000.0,21299000.0,57098000.0,72182000.0,
Dividends Received Cfi,11224000.0,15552000.0,26008000.0,34283000.0,
Net Investment Purchase And Sale,-19110000.0,-14360000.0,-26377000.0,-88265000.0,
Sale Of Investment,483000.0,4626000.0,19030000.0,13317000.0,
Purchase Of Investment,-19593000.0,-18986000.0,-45407000.0,-101582000.0,
Net Investment Properties Purchase And Sale,10632000.0,0.0,0.0,0.0,
Sale Of Investment Properties,14103000.0,0.0,0.0,0.0,
Purchase Of Investment Properties,-3471000.0,0.0,0.0,0.0,
Operating Cash Flow,461517000.0,235857000.0,1099649000.0,216847000.0,
Cash Flow From Continuing Operating Activities,461517000.0,235857000.0,1099649000.0,216847000.0,
Dividend Received Cfo,17131000.0,27542000.0,16594000.0,32953000.0,
Change In Working Capital,-69564000.0,-74336000.0,-43976000.0,-75605000.0,
Other Non Cash Items,61506000.0,-271497000.0,649332000.0,-176146000.0,
Stock Based Compensation,14232000.0,14940000.0,14973000.0,9929000.0,
Asset Impairment Charge,8500000.0,14736000.0,44502000.0,32741000.0,
Deferred Tax,-11613000.0,-7349000.0,-1741000.0,10892000.0,
Deferred Income Tax,-11613000.0,-7349000.0,-1741000.0,10892000.0,
Depreciation Amortization Depletion,77977000.0,72836000.0,68608000.0,65830000.0,
Depreciation And Amortization,77977000.0,72836000.0,68608000.0,65830000.0,
Amortization Cash Flow,68422000.0,63093000.0,59876000.0,58615000.0,
Amortization Of Intangibles,68422000.0,63093000.0,59876000.0,58615000.0,
Depreciation,9555000.0,9743000.0,8732000.0,7215000.0,
Operating Gains Losses,-630000.0,-29483000.0,-24743000.0,-32202000.0,
Earnings Losses From Equity Investments,-5772000.0,-24281000.0,-14247000.0,-34567000.0,
Gain Loss On Sale Of PPE,,,,,375000.0
Net Income From Continuing Operations,283919000.0,400556000.0,353827000.0,377807000.0,
