,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,156446.0,-99904.0,-578372.232441,34771.0,
Tax Rate For Calcs,0.046,0.064,0.047087,0.109,
Total Unusual Items,3401000.0,-1561000.0,-12283000.0,319000.0,
Total Unusual Items Excluding Goodwill,3401000.0,-1561000.0,-12283000.0,319000.0,
Net Income From Continuing Operation Net Minority Interest,264641000.0,371434000.0,325783000.0,339300000.0,
Reconciled Depreciation,77977000.0,72836000.0,68608000.0,65830000.0,
Net Interest Income,363257000.0,427991000.0,390784000.0,254082000.0,
Interest Expense,804615000.0,903228000.0,557617000.0,212005000.0,
Interest Income,1167872000.0,1331219000.0,948401000.0,466087000.0,
Normalized Income,261396446.0,372895096.0,337487627.767559,339015771.0,
Net Income From Continuing And Discontinued Operation,264641000.0,371434000.0,325783000.0,339300000.0,
Diluted Average Shares,205526610.0,218843613.0,199112630.0,156089595.0,
Basic Average Shares,188701149.0,184641642.0,165355167.0,137830691.0,
Diluted EPS,1.18,1.75,1.67,2.28,
Basic EPS,1.18,1.79,1.72,2.3,
Diluted NI Availto Com Stockholders,242550000.0,384019000.0,333039000.0,355919000.0,
Average Dilution Earnings,19278000.0,53954000.0,48210000.0,38507000.0,
Net Income Common Stockholders,223272000.0,330065000.0,284829000.0,317412000.0,
Preferred Stock Dividends,41369000.0,41369000.0,40954000.0,21888000.0,
Net Income,264641000.0,371434000.0,325783000.0,339300000.0,
Minority Interests,-19278000.0,-29122000.0,-28044000.0,-38507000.0,
Net Income Including Noncontrolling Interests,283919000.0,400556000.0,353827000.0,377807000.0,
Net Income Continuous Operations,283919000.0,400556000.0,353827000.0,377807000.0,
Tax Provision,13478000.0,27347000.0,17484000.0,46285000.0,
Pretax Income,297397000.0,427903000.0,371311000.0,424092000.0,
Special Income Charges,-412000.0,-1561000.0,-12283000.0,-3374000.0,
Other Special Charges,,,7350000.0,,
Impairment Of Capital Assets,,,,0.0,0.0
Gain On Sale Of Security,-8543000.0,6763000.0,26609000.0,-2684000.0,
Depreciation Amortization Depletion Income Statement,9555000.0,9743000.0,8732000.0,7215000.0,
Depreciation And Amortization In Income Statement,9555000.0,9743000.0,8732000.0,7215000.0,
Selling General And Administration,236625000.0,211048000.0,215815000.0,217371000.0,
Selling And Marketing Expense,54931000.0,51260000.0,53990000.0,45575000.0,
General And Administrative Expense,181694000.0,159788000.0,161825000.0,171796000.0,
Salaries And Wages,181694000.0,159788000.0,161825000.0,171796000.0,
Total Revenue,625936000.0,721012000.0,619061000.0,590923000.0,
Operating Revenue,625936000.0,721012000.0,619061000.0,590923000.0,
Other Non Interest Expense,7394000.0,5897000.0,2136000.0,718000.0,
