,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.056863,0.050194,0.088042,0.090376,
Net Income From Continuing Operation Net Minority Interest,508080000.0,428447000.0,241606000.0,330762000.0,
Net Interest Income,417597000.0,397810000.0,298584000.0,230211000.0,
Interest Expense,123429000.0,102575000.0,78276000.0,58836000.0,
Interest Income,541026000.0,500385000.0,376860000.0,289047000.0,
Normalized Income,508080000.0,428447000.0,241606000.0,330762000.0,
Net Income From Continuing And Discontinued Operation,508080000.0,428447000.0,241606000.0,330762000.0,
Diluted Average Shares,,81916663.0,74482176.0,68960923.0,65705963.0
Basic Average Shares,,81916663.0,74482176.0,68960923.0,65705963.0
Diluted EPS,,5.23,3.24,4.8,0.45
Basic EPS,,5.23,3.24,4.8,0.45
Diluted NI Availto Com Stockholders,508080000.0,428447000.0,241606000.0,330762000.0,
Net Income Common Stockholders,508080000.0,428447000.0,241606000.0,330762000.0,
Net Income,508080000.0,428447000.0,241606000.0,330762000.0,
Net Income Including Noncontrolling Interests,508080000.0,428447000.0,241606000.0,330762000.0,
Net Income Continuous Operations,508080000.0,428447000.0,241606000.0,330762000.0,
Tax Provision,30633000.0,22642000.0,23325000.0,32863000.0,
Pretax Income,538713000.0,451089000.0,264931000.0,363625000.0,
Gain On Sale Of Security,45998000.0,-120507000.0,-5212000.0,45336000.0,
Operating Expense,62538000.0,58791000.0,53257000.0,47546000.0,
Other Operating Expenses,,,,,74000.0
Selling General And Administration,-3741000.0,-4008000.0,3085000.0,2217000.0,
General And Administrative Expense,-3741000.0,-4008000.0,3085000.0,2217000.0,
Total Revenue,601251000.0,509880000.0,318188000.0,411171000.0,
Operating Revenue,601251000.0,509880000.0,318188000.0,411171000.0,
