Attribute,Value
address1,1800 Avenue of the Stars
address2,Suite 1400
city,Los Angeles
state,CA
zip,90067-4733
country,United States
phone,310-201-4100
fax,310 432 8632
website,https://www.arescapitalcorp.com
industry,Asset Management
industryKey,asset-management
industryDisp,Asset Management
sector,Financial Services
sectorKey,financial-services
sectorDisp,Financial Services
longBusinessSummary,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies."
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Robert Kipp DeVeer III', 'age': 51, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bennett  Rosenthal', 'age': 61, 'title': 'Co-Founder & Chairman Emeritus', 'yearBorn': 1963, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael J. Arougheti', 'age': 52, 'title': 'Executive VP & Director', 'yearBorn': 1972, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James  Miller', 'age': 47, 'title': 'President', 'yearBorn': 1977, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Scott C. Lem', 'age': 46, 'title': 'CFO & Treasurer', 'yearBorn': 1978, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jana  Markowicz', 'age': 43, 'title': 'Chief Operating Officer', 'yearBorn': 1981, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Won Jae Cho', 'age': 41, 'title': 'Chief Accounting Officer', 'yearBorn': 1983, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John W. Stilmar', 'title': 'Partner & Co-Head of Public Markets Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Joshua M. Bloomstein J.D.', 'age': 50, 'title': 'VP, General Counsel & Secretary', 'yearBorn': 1974, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Lisa A. Morgan', 'age': 48, 'title': 'Chief Compliance Officer', 'yearBorn': 1976, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,5
boardRisk,9
compensationRisk,5
shareHolderRightsRisk,5
overallRisk,7
governanceEpochDate,1743465600
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,20.09
open,20.15
dayLow,20.11
dayHigh,20.5085
regularMarketPreviousClose,20.09
regularMarketOpen,20.15
regularMarketDayLow,20.11
regularMarketDayHigh,20.5085
dividendRate,1.92
dividendYield,9.41
exDividendDate,1741910400
payoutRatio,0.78690004
fiveYearAvgDividendYield,9.16
beta,0.821
trailingPE,8.360656
forwardPE,9.272727
volume,4197207
regularMarketVolume,4197207
averageVolume,5533703
averageVolume10days,9572430
averageDailyVolume10Day,9572430
bid,20.36
ask,20.42
bidSize,57
askSize,57
marketCap,13963351040
fiftyTwoWeekLow,18.26
