Attribute,Value
address1,1300 Post Oak Boulevard
address2,8th Floor
city,Houston
state,TX
zip,77056
country,United States
phone,713 350 6000
fax,713 350 6042
website,https://www.mainstcapital.com
industry,Asset Management
industryKey,asset-management
industryDisp,Asset Management
sector,Financial Services
sectorKey,financial-services
sectorDisp,Financial Services
longBusinessSummary,"Main Street Capital Corporation is a business development company specializes in equity capital to lower middle market companies. The firm specializing in recapitalizations, management buyouts, refinancing, family estate planning, management buyouts, refinancing, industry consolidation, mature, later stage emerging growth. The firm also provides debt capital to middle market companies for acquisitions, management buyouts, growth financings, recapitalizations, and refinancing. The firm seeks to partner with entrepreneurs, business owners and management teams and generally provides ""one stop"" financing alternatives within its lower middle market portfolio. It prefers to invest in air freight and logistics, auto components, building products, chemicals, commercial services, computers, construction and engineering, consumer finance, consumer services, electronic equipment, energy equipment and services, financial services, health care equipment, health care providers, hotels, restaurants, and leisure, internet software and services, IT Services, machinery, oil, gas and consumable fuels, paper and forest products, professional and industrial services, road and rail, software, specialty retail, telecommunication, consumer discretionary, energy, materials, technology, and transportation. The firm typically invests in lower middle market companies ranging between $5 million and $125 million in equity investment with annual revenues between $10 million and $150 million and EBITDA in ranging between $3 million and $20 million. The firm typically prefers to invest in the range of $5 million and $150 million per transaction in debt investment value but holds the ability to lead debt financings up to $250 million and invests between $10 million and $150 million in credit solutions with EBITDA in the range of $5 million and $75 million for credit solutions. The firm's middle market debt investments are made in businesses that are generally larger in size than its lower middle market portfolio companies. It takes 5 percent minority and up to 50 percent majority equity investments. Main Street Capital Corporation was founded in 2007 and is based in Houston, Texas with an additional office in Chojnów, Poland."
fullTimeEmployees,104
