Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.4300,0.4300,Regular,Quarterly,3/7/2025,3/7/2025,3/21/2025,2/21/2025,
2024,,,,,,,,,
,0.4300,0.4300,Regular,Quarterly,11/15/2024,11/15/2024,11/27/2024,11/1/2024,
,0.4300,0.4300,Regular,Quarterly,8/16/2024,8/16/2024,8/30/2024,8/2/2024,
,0.4300,0.4300,Regular,Quarterly,5/16/2024,5/17/2024,5/31/2024,5/3/2024,
,0.4300,0.4300,Regular,Quarterly,3/1/2024,3/4/2024,3/15/2024,2/16/2024,
2023,,,,,,,,,
,0.4300,0.4300,Regular,Quarterly,11/16/2023,11/17/2023,11/30/2023,10/27/2023,
,0.4300,0.4300,Regular,Quarterly,8/14/2023,8/15/2023,8/31/2023,7/28/2023,
,0.4200,0.4200,Regular,Quarterly,5/18/2023,5/19/2023,5/31/2023,5/5/2023,
,0.4000,0.4000,Regular,Quarterly,3/10/2023,3/13/2023,3/17/2023,2/17/2023,
2022,,,,,,,,,
,0.4000,0.4000,Regular,Quarterly,11/17/2022,11/18/2022,11/30/2022,11/4/2022,
,0.3900,0.3900,Regular,Quarterly,8/12/2022,8/15/2022,8/31/2022,7/29/2022,
,0.3800,0.3800,Regular,Quarterly,5/19/2022,5/20/2022,5/31/2022,5/6/2022,
,0.3700,0.3700,Regular,Quarterly,3/3/2022,3/4/2022,3/18/2022,2/18/2022,
2021,,,,,,,,,
,0.3600,0.3600,Regular,Quarterly,11/12/2021,11/15/2021,11/30/2021,10/29/2021,
,0.3500,0.3500,Regular,Quarterly,8/13/2021,8/16/2021,8/31/2021,7/28/2021,
,0.3400,0.3400,Regular,Quarterly,5/20/2021,5/21/2021,6/1/2021,5/7/2021,
,0.3300,0.3300,Regular,Quarterly,3/2/2021,3/3/2021,3/19/2021,2/19/2021,
2020,,,,,,,,,
,0.3200,0.3200,Regular,Quarterly,11/13/2020,11/16/2020,11/30/2020,10/30/2020,
,0.3100,0.3100,Regular,Quarterly,8/14/2020,8/17/2020,8/31/2020,7/31/2020,
,0.3000,0.3000,Regular,Quarterly,6/29/2020,6/30/2020,7/15/2020,5/8/2020,
,0.3000,0.3000,Regular,Quarterly,2/27/2020,2/28/2020,3/17/2020,2/14/2020,
2019,,,,,,,,,
,0.3000,0.3000,Regular,Quarterly,11/14/2019,11/15/2019,12/2/2019,11/1/2019,
,0.2900,0.2900,Regular,Quarterly,8/14/2019,8/15/2019,9/3/2019,8/2/2019,
,0.2800,0.2800,Regular,Quarterly,5/22/2019,5/23/2019,5/31/2019,5/10/2019,
,0.2700,0.2700,Regular,Quarterly,2/28/2019,3/1/2019,3/20/2019,2/15/2019,
2018,,,,,,,,,
,0.1500,0.1500,Special,Other,12/27/2018,12/28/2018,1/31/2019,12/17/2018,
,0.2700,0.2700,Regular,Quarterly,11/14/2018,11/15/2018,11/30/2018,11/2/2018,
,0.2500,0.2500,Regular,Quarterly,8/14/2018,8/15/2018,8/31/2018,8/3/2018,
,0.2500,0.2500,Regular,Quarterly,5/14/2018,5/15/2018,5/31/2018,5/4/2018,
,0.2100,0.2100,Regular,Quarterly,3/7/2018,3/8/2018,3/21/2018,2/23/2018,
2017,,,,,,,,,
,0.1900,0.1900,Regular,Quarterly,11/14/2017,11/15/2017,11/30/2017,11/1/2017,
,0.1800,0.1800,Regular,Quarterly,8/14/2017,8/16/2017,8/31/2017,8/4/2017,
,0.1800,0.1800,Regular,Quarterly,5/15/2017,5/17/2017,5/31/2017,,
,0.1700,0.1700,Regular,Quarterly,3/13/2017,3/15/2017,3/21/2017,3/3/2017,
2016,,,,,,,,,
,0.1600,0.1600,Regular,Quarterly,11/17/2016,11/21/2016,11/30/2016,11/9/2016,
,0.1600,0.1600,Regular,Quarterly,8/15/2016,8/17/2016,8/31/2016,8/5/2016,
,0.1500,0.1500,Regular,Quarterly,5/16/2016,5/18/2016,5/31/2016,5/6/2016,
,0.1500,0.1500,Regular,Quarterly,3/8/2016,3/10/2016,3/15/2016,2/26/2016,
2015,,,,,,,,,
,0.1500,0.1500,Regular,Quarterly,11/16/2015,11/18/2015,11/30/2015,11/6/2015,
,0.1500,0.1500,Regular,Quarterly,8/12/2015,8/15/2015,8/31/2015,7/31/2015,
,0.1500,0.1500,Regular,Quarterly,5/13/2015,5/15/2015,6/1/2015,5/1/2015,
,0.1300,0.1300,Regular,Quarterly,2/23/2015,2/25/2015,3/2/2015,2/13/2015,
2014,,,,,,,,,
,0.1300,0.1300,Regular,Quarterly,11/17/2014,11/19/2014,12/1/2014,11/7/2014,
,0.1300,0.1300,Regular,Quarterly,8/13/2014,8/15/2014,9/2/2014,8/1/2014,
,0.1300,0.1300,Regular,Quarterly,5/13/2014,5/15/2014,6/2/2014,5/1/2014,
,0.1300,0.1300,Regular,Quarterly,2/21/2014,2/25/2014,2/28/2014,2/14/2014,
2013,,,,,,,,,
,0.1300,0.1300,Regular,Quarterly,11/18/2013,11/20/2013,12/2/2013,11/8/2013,
,0.1300,0.1300,Regular,Quarterly,8/12/2013,8/14/2013,9/3/2013,8/2/2013,
,0.1200,0.1200,Regular,Quarterly,5/13/2013,5/15/2013,5/31/2013,5/3/2013,
,0.1200,0.1200,Regular,Quarterly,3/1/2013,3/5/2013,3/12/2013,2/15/2013,
2012,,,,,,,,,
,0.1100,0.1100,Regular,Quarterly,11/16/2012,11/20/2012,11/28/2012,11/2/2012,
