Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.4800,0.4800,Regular,Quarterly,3/14/2025,3/14/2025,3/31/2025,2/5/2025,
2024,,,,,,,,,
,0.4800,0.4800,Regular,Quarterly,12/13/2024,12/13/2024,12/30/2024,10/30/2024,
,0.4800,0.4800,Regular,Quarterly,9/13/2024,9/13/2024,9/30/2024,7/30/2024,
,0.4800,0.4800,Regular,Quarterly,6/14/2024,6/14/2024,6/28/2024,5/1/2024,
,0.4800,0.4800,Regular,Quarterly,3/14/2024,3/15/2024,3/29/2024,2/7/2024,
2023,,,,,,,,,
,0.4800,0.4800,Regular,Quarterly,12/14/2023,12/15/2023,12/28/2023,10/24/2023,
,0.4800,0.4800,Regular,Quarterly,9/14/2023,9/15/2023,9/29/2023,7/25/2023,
,0.4800,0.4800,Regular,Quarterly,6/14/2023,6/15/2023,6/30/2023,4/25/2023,
,0.4800,0.4800,Regular,Quarterly,3/14/2023,3/15/2023,3/31/2023,2/7/2023,
2022,,,,,,,,,
,0.4800,0.4800,Regular,Quarterly,12/14/2022,12/15/2022,12/29/2022,10/25/2022,
,0.0300,0.0300,Special,Other,12/14/2022,12/15/2022,12/29/2022,2/9/2022,
,0.4300,0.4300,Regular,Quarterly,9/14/2022,9/15/2022,9/30/2022,7/26/2022,
,0.0300,0.0300,Special,Other,9/14/2022,9/15/2022,9/30/2022,2/9/2022,
,0.4200,0.4200,Regular,Quarterly,6/14/2022,6/15/2022,6/30/2022,2/9/2022,
,0.0300,0.0300,Special,Other,6/14/2022,6/15/2022,6/30/2022,2/9/2022,
,0.4200,0.4200,Regular,Quarterly,3/14/2022,3/15/2022,3/31/2022,2/9/2022,
,0.0300,0.0300,Special,Other,3/14/2022,3/15/2022,3/31/2022,2/9/2022,
2021,,,,,,,,,
,0.4100,0.4100,Regular,Quarterly,12/14/2021,12/15/2021,12/30/2021,10/26/2021,
,0.4100,0.4100,Regular,Quarterly,9/14/2021,9/15/2021,9/30/2021,7/28/2021,
,0.4000,0.4000,Regular,Quarterly,6/14/2021,6/15/2021,6/30/2021,4/28/2021,
,0.4000,0.4000,Regular,Quarterly,3/12/2021,3/15/2021,3/31/2021,,
2020,,,,,,,,,
,0.4000,0.4000,Regular,Quarterly,12/14/2020,12/15/2020,12/30/2020,10/27/2020,
,0.4000,0.4000,Regular,Quarterly,9/14/2020,9/15/2020,9/30/2020,8/4/2020,
,0.4000,0.4000,Regular,Quarterly,6/12/2020,6/15/2020,6/30/2020,5/5/2020,
,0.4000,0.4000,Regular,Quarterly,3/13/2020,3/16/2020,3/31/2020,2/12/2020,
2019,,,,,,,,,
,0.4000,0.4000,Regular,Quarterly,12/13/2019,12/16/2019,12/27/2019,10/30/2019,
,0.0200,0.0200,Special,Other,12/13/2019,12/16/2019,12/27/2019,4/30/2019,
,0.4000,0.4000,Regular,Quarterly,9/13/2019,9/16/2019,9/30/2019,7/30/2019,
,0.0200,0.0200,Special,Other,9/13/2019,9/16/2019,9/30/2019,4/30/2019,
,0.4000,0.4000,Regular,Quarterly,6/13/2019,6/14/2019,6/28/2019,4/30/2019,
,0.0200,0.0200,Special,Other,6/13/2019,6/14/2019,6/28/2019,4/30/2019,
,0.4000,0.4000,Regular,Quarterly,3/14/2019,3/15/2019,3/29/2019,2/12/2019,
,0.0200,0.0200,Special,Other,3/14/2019,3/15/2019,3/29/2019,2/12/2019,
2018,,,,,,,,,
,0.3900,0.3900,Regular,Quarterly,12/13/2018,12/14/2018,12/28/2018,10/31/2018,
,0.3900,0.3900,Regular,Quarterly,9/13/2018,9/14/2018,9/28/2018,8/1/2018,
,0.3800,0.3800,Regular,Quarterly,6/14/2018,6/15/2018,6/29/2018,5/2/2018,
,0.3800,0.3800,Regular,Quarterly,3/14/2018,3/15/2018,3/30/2018,2/13/2018,
2017,,,,,,,,,
,0.3800,0.3800,Regular,Quarterly,12/14/2017,12/15/2017,12/29/2017,11/2/2017,
,0.3800,0.3800,Regular,Quarterly,9/14/2017,9/15/2017,9/29/2017,8/2/2017,
,0.3800,0.3800,Regular,Quarterly,6/13/2017,6/15/2017,6/30/2017,,
,0.3800,0.3800,Regular,Quarterly,3/13/2017,3/15/2017,3/31/2017,2/22/2017,
2016,,,,,,,,,
,0.3800,0.3800,Regular,Quarterly,12/13/2016,12/15/2016,12/30/2016,11/2/2016,
,0.3800,0.3800,Regular,Quarterly,9/13/2016,9/15/2016,9/30/2016,8/3/2016,
,0.3800,0.3800,Regular,Quarterly,6/13/2016,6/15/2016,6/30/2016,5/4/2016,
,0.3800,0.3800,Regular,Quarterly,3/11/2016,3/15/2016,3/31/2016,2/24/2016,
2015,,,,,,,,,
,0.3800,0.3800,Regular,Quarterly,12/11/2015,12/15/2015,12/31/2015,11/4/2015,
,0.3800,0.3800,Regular,Quarterly,9/11/2015,9/15/2015,9/30/2015,8/4/2015,
,0.3800,0.3800,Regular,Quarterly,6/11/2015,6/15/2015,6/30/2015,5/4/2015,
,0.3800,0.3800,Regular,Quarterly,3/11/2015,3/13/2015,3/31/2015,2/26/2015,
,0.0500,0.0500,Special,Other,3/11/2015,3/13/2015,3/31/2015,2/26/2015,
2014,,,,,,,,,
,0.3800,0.3800,Regular,Quarterly,12/11/2014,12/15/2014,12/31/2014,11/4/2014,
,0.3800,0.3800,Regular,Quarterly,9/11/2014,9/15/2014,9/30/2014,8/5/2014,
,0.3800,0.3800,Regular,Quarterly,6/12/2014,6/16/2014,6/30/2014,5/6/2014,
,0.3800,0.3800,Regular,Quarterly,3/12/2014,3/14/2014,3/31/2014,2/26/2014,
,0.0500,0.0500,Special,Other,3/12/2014,3/14/2014,3/28/2014,11/5/2013,
2013,,,,,,,,,
,0.3800,0.3800,Regular,Quarterly,12/12/2013,12/16/2013,12/31/2013,11/5/2013,
,0.0500,0.0500,Special,Other,12/12/2013,12/16/2013,12/31/2013,11/5/2013,
,0.3800,0.3800,Regular,Quarterly,9/12/2013,9/16/2013,9/30/2013,8/6/2013,
,0.3800,0.3800,Regular,Quarterly,6/12/2013,6/14/2013,6/28/2013,5/7/2013,
,0.3800,0.3800,Regular,Quarterly,3/13/2013,3/15/2013,3/29/2013,2/27/2013,
2012,,,,,,,,,
,0.3800,0.3800,Regular,Quarterly,12/12/2012,12/14/2012,12/28/2012,11/5/2012,
,0.0500,0.0500,Special,Other,12/12/2012,12/14/2012,12/28/2012,11/5/2012,
,0.3800,0.3800,Regular,Quarterly,9/12/2012,9/14/2012,9/28/2012,,
,0.0500,0.0500,Special,Other,9/12/2012,9/14/2012,9/28/2012,,
,0.3700,0.3700,Regular,Quarterly,6/13/2012,6/15/2012,6/29/2012,,
,0.3700,0.3700,Regular,Quarterly,3/13/2012,3/15/2012,3/30/2012,,
2011,,,,,,,,,
,0.3600,0.3600,Regular,Quarterly,12/13/2011,12/15/2011,12/30/2011,,
,0.3500,0.3500,Regular,Quarterly,9/13/2011,9/15/2011,9/30/2011,,
,0.3500,0.3500,Regular,Quarterly,6/13/2011,6/15/2011,6/30/2011,,
,0.3500,0.3500,Regular,Quarterly,3/11/2011,3/15/2011,3/31/2011,,
2010,,,,,,,,,
,0.3500,0.3500,Regular,Quarterly,12/13/2010,12/15/2010,12/31/2010,,
,0.3500,0.3500,Regular,Quarterly,9/13/2010,9/15/2010,9/30/2010,,
,0.3500,0.3500,Regular,Quarterly,6/11/2010,6/15/2010,6/30/2010,,
,0.3500,0.3500,Regular,Quarterly,3/11/2010,3/15/2010,3/31/2010,,
2009,,,,,,,,,
,0.3500,0.3500,Regular,Quarterly,12/11/2009,12/15/2009,12/31/2009,,
,0.3500,0.3500,Regular,Quarterly,9/11/2009,9/15/2009,9/30/2009,,
,0.3500,0.3500,Regular,Quarterly,6/11/2009,6/15/2009,6/30/2009,,
,0.4200,0.4200,Regular,Quarterly,3/12/2009,3/16/2009,3/31/2009,,
2008,,,,,,,,,
,0.4200,0.4200,Regular,Quarterly,12/11/2008,12/15/2008,1/2/2009,,
,0.4200,0.4200,Regular,Quarterly,9/11/2008,9/15/2008,9/30/2008,,
,0.4200,0.4200,Regular,Quarterly,6/12/2008,6/16/2008,6/30/2008,,
,0.4200,0.4200,Regular,Quarterly,3/13/2008,3/17/2008,3/31/2008,,
2007,,,,,,,,,
,0.4200,0.4200,Regular,Quarterly,12/12/2007,12/14/2007,12/31/2007,,
,0.4200,0.4200,Regular,Quarterly,9/12/2007,9/14/2007,9/28/2007,,
,0.4100,0.4100,Regular,Quarterly,6/13/2007,6/15/2007,6/29/2007,,
,0.4100,0.4100,Regular,Quarterly,3/15/2007,3/19/2007,3/30/2007,,
2006,,,,,,,,,
,0.4000,0.4000,Regular,Quarterly,12/13/2006,12/15/2006,12/29/2006,,
