Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.5900,0.5900,Regular,Quarterly,3/20/2025,3/20/2025,3/31/2025,3/5/2025,
2024,,,,,,,,,
,0.5900,0.5900,Regular,Quarterly,12/23/2024,12/23/2024,12/31/2024,12/12/2024,
,0.5300,0.5300,Regular,Quarterly,9/19/2024,9/19/2024,9/30/2024,9/5/2024,
,5.2500,0.5250,Regular,Quarterly,6/24/2024,6/24/2024,6/28/2024,6/12/2024,
,5.2500,0.5250,Regular,Quarterly,3/20/2024,3/21/2024,3/29/2024,3/6/2024,
2023,,,,,,,,,
,5.2500,0.5250,Regular,Quarterly,12/19/2023,12/20/2023,12/29/2023,12/7/2023,
,4.6000,0.4600,Regular,Quarterly,9/20/2023,9/21/2023,9/29/2023,8/31/2023,
,4.6000,0.4600,Regular,Quarterly,6/21/2023,6/22/2023,6/30/2023,6/1/2023,
,4.6000,0.4600,Regular,Quarterly,3/21/2023,3/22/2023,3/31/2023,3/2/2023,
2022,,,,,,,,,
,4.6000,0.4600,Regular,Quarterly,12/19/2022,12/20/2022,12/30/2022,12/8/2022,
,4.1000,0.4100,Regular,Quarterly,9/21/2022,9/22/2022,9/30/2022,9/1/2022,
,4.1000,0.4100,Regular,Quarterly,6/21/2022,6/22/2022,6/30/2022,5/26/2022,
,4.1000,0.4100,Regular,Quarterly,3/21/2022,3/22/2022,3/31/2022,3/3/2022,
2021,,,,,,,,,
,4.1000,0.4100,Regular,Quarterly,12/21/2021,12/22/2021,12/31/2021,12/9/2021,
,3.6000,0.3600,Regular,Quarterly,9/21/2021,9/22/2021,9/30/2021,9/2/2021,
,3.6000,0.3600,Regular,Quarterly,6/21/2021,6/22/2021,6/30/2021,6/3/2021,
,3.6000,0.3600,Regular,Quarterly,3/19/2021,3/22/2021,3/31/2021,3/4/2021,
2020,,,,,,,,,
,3.6000,0.3600,Regular,Quarterly,12/18/2020,12/21/2020,12/31/2020,12/10/2020,
,3.2500,0.3250,Regular,Quarterly,9/21/2020,9/22/2020,9/30/2020,9/3/2020,
,3.2500,0.3250,Regular,Quarterly,6/19/2020,6/22/2020,6/30/2020,6/3/2020,
,3.2500,0.3250,Regular,Quarterly,3/20/2020,3/23/2020,3/31/2020,3/11/2020,
2019,,,,,,,,,
,3.2500,0.3250,Regular,Quarterly,12/20/2019,12/23/2019,12/31/2019,12/12/2019,
,2.6500,0.2650,Regular,Quarterly,9/20/2019,9/23/2019,10/1/2019,9/11/2019,
,2.6500,0.2650,Regular,Quarterly,6/21/2019,6/24/2019,7/2/2019,6/12/2019,
,2.6500,0.2650,Regular,Quarterly,3/20/2019,3/21/2019,3/29/2019,3/13/2019,
2018,,,,,,,,,
,2.6500,0.2650,Regular,Quarterly,12/18/2018,12/19/2018,12/28/2018,12/6/2018,
,1.7500,0.1750,Regular,Quarterly,9/18/2018,9/19/2018,9/28/2018,9/6/2018,
,1.7500,0.1750,Regular,Quarterly,6/19/2018,6/20/2018,6/29/2018,6/7/2018,
,1.7500,0.1750,Regular,Quarterly,3/21/2018,3/22/2018,3/29/2018,3/14/2018,
2017,,,,,,,,,
,1.7500,0.1750,Regular,Quarterly,12/18/2017,12/19/2017,12/29/2017,12/4/2017,
,1.0200,0.1020,Regular,Quarterly,9/18/2017,9/19/2017,9/29/2017,8/29/2017,
,1.0200,0.1020,Regular,Quarterly,6/15/2017,6/19/2017,6/30/2017,,
,1.0200,0.1020,Regular,Quarterly,3/16/2017,3/20/2017,3/31/2017,,
2016,,,,,,,,,
,1.0200,0.1020,Regular,Quarterly,12/14/2016,12/16/2016,12/30/2016,12/12/2016,
,0.5100,0.0510,Regular,Quarterly,9/15/2016,9/19/2016,9/30/2016,9/5/2016,
