Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.3109,0.3109,Regular,Quarterly,3/18/2025,3/18/2025,3/21/2025,7/5/2024,
2024,,,,,,,,,
,0.3780,0.3780,Regular,Quarterly,12/17/2024,12/17/2024,12/20/2024,12/7/2023,
,0.4031,0.4031,Regular,Quarterly,9/25/2024,9/25/2024,9/30/2024,12/7/2023,
,0.2932,0.2932,Regular,Quarterly,6/11/2024,6/11/2024,6/17/2024,12/7/2023,
,0.3107,0.3107,Regular,Quarterly,3/21/2024,3/22/2024,3/27/2024,12/7/2023,
2023,,,,,,,,,
,0.3701,0.3701,Regular,Quarterly,12/20/2023,12/21/2023,12/27/2023,11/25/2022,
,0.3882,0.3882,Regular,Quarterly,9/26/2023,9/27/2023,10/2/2023,11/25/2022,
,0.2597,0.2597,Regular,Quarterly,6/7/2023,6/8/2023,6/13/2023,11/25/2022,
,0.2980,0.2980,Regular,Quarterly,3/23/2023,3/24/2023,3/29/2023,11/25/2022,
2022,,,,,,,,,
,0.3290,0.3290,Regular,Quarterly,12/13/2022,12/14/2022,12/19/2022,12/13/2021,
,0.3423,0.3423,Regular,Quarterly,9/26/2022,9/27/2022,9/30/2022,12/13/2021,
,0.2347,0.2347,Regular,Quarterly,6/9/2022,6/10/2022,6/15/2022,12/13/2021,
,0.2620,0.2620,Regular,Quarterly,3/24/2022,3/25/2022,3/30/2022,12/13/2021,
2021,,,,,,,,,
,0.2990,0.2990,Regular,Quarterly,12/13/2021,12/14/2021,12/17/2021,12/30/2020,
,0.2500,0.2500,Regular,Quarterly,9/24/2021,9/27/2021,9/30/2021,12/30/2020,
,0.2606,0.2606,Regular,Quarterly,6/10/2021,6/11/2021,6/16/2021,12/30/2020,
,0.2622,0.2622,Regular,Quarterly,3/25/2021,3/26/2021,3/31/2021,12/30/2020,
2020,,,,,,,,,
,0.2727,0.2727,Regular,Quarterly,12/14/2020,12/15/2020,12/18/2020,12/12/2019,
,0.2605,0.2605,Regular,Quarterly,9/23/2020,9/24/2020,9/29/2020,12/12/2019,
,0.2488,0.2488,Regular,Quarterly,6/15/2020,6/16/2020,6/19/2020,12/12/2019,
,0.2468,0.2468,Regular,Quarterly,3/25/2020,3/26/2020,3/31/2020,12/12/2019,
2019,,,,,,,,,
,0.2350,0.2350,Regular,Quarterly,12/16/2019,12/17/2019,12/20/2019,12/24/2018,
,0.2501,0.2501,Regular,Quarterly,9/24/2019,9/25/2019,9/30/2019,12/24/2018,
,0.2277,0.2277,Regular,Quarterly,6/17/2019,6/18/2019,6/21/2019,6/14/2019,
,0.2179,0.2179,Regular,Quarterly,3/20/2019,3/21/2019,3/26/2019,3/19/2019,
2018,,,,,,,,,
,0.2002,0.2002,Regular,Quarterly,12/17/2018,12/18/2018,12/21/2018,12/14/2018,
,0.2276,0.2276,Regular,Quarterly,9/26/2018,9/27/2018,10/2/2018,9/25/2018,
,0.1906,0.1906,Regular,Quarterly,6/26/2018,6/27/2018,7/2/2018,6/25/2018,
,0.1919,0.1919,Regular,Quarterly,3/22/2018,3/23/2018,3/28/2018,3/21/2018,
2017,,,,,,,,,
,0.1940,0.1940,Regular,Quarterly,12/19/2017,12/20/2017,12/26/2017,12/18/2017,
,0.1649,0.1649,Regular,Quarterly,9/26/2017,9/27/2017,9/29/2017,9/25/2017,
,0.1859,0.1859,Regular,Quarterly,6/27/2017,6/29/2017,6/30/2017,6/26/2017,
,0.1606,0.1606,Regular,Quarterly,3/24/2017,3/28/2017,3/30/2017,3/23/2017,
2016,,,,,,,,,
,0.1518,0.1518,Regular,Quarterly,12/21/2016,12/23/2016,12/28/2016,12/20/2016,
,0.1755,0.1755,Regular,Quarterly,9/26/2016,9/28/2016,9/30/2016,9/23/2016,
,0.1714,0.1714,Regular,Quarterly,6/21/2016,6/23/2016,6/27/2016,6/20/2016,
,0.1579,0.1579,Regular,Quarterly,3/23/2016,3/28/2016,3/30/2016,3/22/2016,
2015,,,,,,,,,
,0.0113,0.0113,Special,Other,12/29/2015,12/31/2015,1/5/2016,12/28/2015,
,0.1361,0.1361,Regular,Quarterly,12/24/2015,12/29/2015,12/31/2015,12/23/2015,
,0.1629,0.1629,Regular,Quarterly,9/25/2015,9/29/2015,10/1/2015,9/24/2015,
,0.1693,0.1693,Regular,Quarterly,6/24/2015,6/26/2015,6/30/2015,6/23/2015,
,0.1676,0.1676,Regular,Quarterly,3/25/2015,3/27/2015,3/31/2015,3/24/2015,
2014,,,,,,,,,
,0.0887,0.0887,Regular,Quarterly,12/24/2014,12/29/2014,12/31/2014,12/23/2014,
,0.1690,0.1690,Regular,Other,9/24/2014,9/26/2014,9/30/2014,9/23/2014,
