Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.3267,0.3267,Regular,Monthly,4/1/2025,4/1/2025,4/7/2025,3/31/2025,
,0.3444,0.3444,Regular,Monthly,3/3/2025,3/3/2025,3/7/2025,2/28/2025,
,0.3575,0.3575,Regular,Monthly,2/3/2025,2/3/2025,2/7/2025,1/31/2025,
,0.3496,0.3496,Regular,Monthly,1/3/2025,1/3/2025,1/10/2025,1/2/2025,
2024,,,,,,,,,
,0.3581,0.3581,Regular,Monthly,12/3/2024,12/3/2024,12/9/2024,12/2/2024,
,0.3427,0.3427,Regular,Monthly,11/4/2024,11/4/2024,11/8/2024,11/1/2024,
,0.3472,0.3472,Regular,Monthly,10/2/2024,10/2/2024,10/8/2024,10/1/2024,
,0.3422,0.3422,Regular,Monthly,9/4/2024,9/4/2024,9/10/2024,9/3/2024,
,0.3376,0.3376,Regular,Monthly,8/2/2024,8/2/2024,8/8/2024,8/1/2024,
,0.3358,0.3358,Regular,Monthly,7/2/2024,7/2/2024,7/9/2024,7/1/2024,
,0.3293,0.3293,Regular,Monthly,6/4/2024,6/4/2024,6/10/2024,6/3/2024,
,0.3183,0.3183,Regular,Monthly,5/2/2024,5/3/2024,5/8/2024,5/1/2024,
,0.3326,0.3326,Regular,Monthly,4/2/2024,4/3/2024,4/8/2024,4/1/2024,
,0.3266,0.3266,Regular,Monthly,3/4/2024,3/5/2024,3/8/2024,3/1/2024,
,0.3158,0.3158,Regular,Monthly,2/2/2024,2/5/2024,2/8/2024,2/1/2024,
2023,,,,,,,,,
,0.3130,0.3130,Regular,Monthly,12/28/2023,12/29/2023,1/4/2024,12/27/2023,
,0.3031,0.3031,Regular,Monthly,12/4/2023,12/5/2023,12/8/2023,11/3/2023,
