Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.5407,0.5407,Regular,Monthly,4/1/2025,4/1/2025,4/3/2025,3/31/2025,
,0.4824,0.4824,Regular,Monthly,3/3/2025,3/3/2025,3/5/2025,2/28/2025,
,0.4502,0.4502,Regular,Monthly,2/3/2025,2/3/2025,2/5/2025,1/31/2025,
2024,,,,,,,,,
,0.4558,0.4558,Regular,Monthly,12/31/2024,12/31/2024,1/3/2025,12/30/2024,
,0.5083,0.5083,Regular,Monthly,12/2/2024,12/2/2024,12/4/2024,11/29/2024,
,0.4936,0.4936,Regular,Monthly,11/1/2024,11/1/2024,11/5/2024,10/31/2024,
,0.5506,0.5506,Regular,Monthly,10/1/2024,10/1/2024,10/3/2024,9/30/2024,
,0.5569,0.5569,Regular,Monthly,9/3/2024,9/3/2024,9/5/2024,8/30/2024,
,0.4268,0.4268,Regular,Monthly,8/1/2024,8/1/2024,8/5/2024,7/31/2024,
,0.4212,0.4212,Regular,Monthly,7/1/2024,7/1/2024,7/3/2024,6/28/2024,
,0.4497,0.4497,Regular,Monthly,6/3/2024,6/3/2024,6/5/2024,5/31/2024,
,0.4311,0.4311,Regular,Monthly,5/1/2024,5/2/2024,5/6/2024,4/30/2024,
,0.4273,0.4273,Regular,Monthly,4/1/2024,4/2/2024,4/4/2024,3/22/2024,
,0.3804,0.3804,Regular,Monthly,3/1/2024,3/4/2024,3/6/2024,2/29/2024,
,0.3417,0.3417,Regular,Monthly,2/1/2024,2/2/2024,2/6/2024,1/31/2024,
2023,,,,,,,,,
,0.3925,0.3925,Regular,Monthly,12/28/2023,12/29/2023,1/3/2024,12/27/2023,
,0.4221,0.4221,Regular,Monthly,12/1/2023,12/4/2023,12/6/2023,12/30/2022,
,0.4177,0.4177,Regular,Monthly,11/1/2023,11/2/2023,11/6/2023,12/30/2022,
,0.4172,0.4172,Regular,Monthly,10/2/2023,10/3/2023,10/5/2023,12/30/2022,
,0.4506,0.4506,Regular,Monthly,9/1/2023,9/5/2023,9/7/2023,12/30/2022,
,0.3659,0.3659,Regular,Monthly,8/1/2023,8/2/2023,8/4/2023,12/30/2022,
,0.3668,0.3668,Regular,Monthly,7/3/2023,7/5/2023,7/7/2023,12/30/2022,
,0.3566,0.3566,Regular,Monthly,6/1/2023,6/2/2023,6/6/2023,5/31/2023,
,0.4841,0.4841,Regular,Monthly,5/1/2023,5/2/2023,5/4/2023,12/30/2022,
,0.4539,0.4539,Regular,Monthly,4/3/2023,4/4/2023,4/6/2023,12/30/2022,
,0.4330,0.4330,Regular,Monthly,3/1/2023,3/2/2023,3/6/2023,12/30/2022,
,0.4406,0.4406,Regular,Monthly,2/1/2023,2/2/2023,2/6/2023,12/30/2022,
2022,,,,,,,,,
,0.5755,0.5755,Regular,Monthly,12/29/2022,12/30/2022,1/4/2023,12/28/2022,
,0.5463,0.5463,Regular,Monthly,12/1/2022,12/2/2022,12/6/2022,11/30/2022,
,0.6813,0.6813,Regular,Monthly,11/1/2022,11/2/2022,11/4/2022,10/31/2022,
,0.3795,0.3795,Regular,Monthly,10/3/2022,10/4/2022,10/6/2022,9/30/2022,
,0.5463,0.5463,Regular,Monthly,9/1/2022,9/2/2022,9/7/2022,8/31/2022,
,0.4071,0.4071,Regular,Monthly,8/1/2022,8/2/2022,8/4/2022,7/29/2022,
,0.3397,0.3397,Regular,Monthly,7/1/2022,7/5/2022,7/7/2022,6/30/2022,
,0.3764,0.3764,Regular,Monthly,6/1/2022,6/2/2022,6/6/2022,5/31/2022,
