Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.3200,0.3200,Regular,Quarterly,5/15/2025,5/15/2025,6/1/2025,3/13/2025,
,0.3200,0.3200,Regular,Quarterly,2/14/2025,2/14/2025,3/1/2025,1/31/2025,
2024,,,,,,,,,
,0.3200,0.3200,Regular,Quarterly,11/15/2024,11/15/2024,12/1/2024,9/19/2024,
,0.3200,0.3200,Regular,Quarterly,8/15/2024,8/15/2024,9/1/2024,6/27/2024,
,0.2900,0.2900,Regular,Quarterly,5/14/2024,5/15/2024,6/1/2024,3/14/2024,
,0.2900,0.2900,Regular,Quarterly,2/14/2024,2/15/2024,3/1/2024,1/19/2024,
2023,,,,,,,,,
,0.2900,0.2900,Regular,Quarterly,11/14/2023,11/15/2023,12/1/2023,9/14/2023,
,0.2900,0.2900,Regular,Quarterly,8/14/2023,8/15/2023,9/1/2023,6/22/2023,
,0.2600,0.2600,Regular,Quarterly,5/12/2023,5/15/2023,6/1/2023,3/9/2023,
,0.2600,0.2600,Regular,Quarterly,2/14/2023,2/15/2023,3/1/2023,1/20/2023,
2022,,,,,,,,,
,0.2600,0.2600,Regular,Quarterly,11/14/2022,11/15/2022,12/1/2022,9/15/2022,
,0.2600,0.2600,Regular,Quarterly,8/12/2022,8/15/2022,9/1/2022,6/23/2022,
,0.2100,0.2100,Regular,Quarterly,5/12/2022,5/13/2022,6/1/2022,3/10/2022,
,0.2100,0.2100,Regular,Quarterly,2/14/2022,2/15/2022,3/1/2022,1/21/2022,
2021,,,,,,,,,
,0.2100,0.2100,Regular,Quarterly,11/12/2021,11/15/2021,12/1/2021,9/15/2021,
,0.2100,0.2100,Regular,Quarterly,8/12/2021,8/13/2021,9/1/2021,6/24/2021,
,0.1800,0.1800,Regular,Quarterly,5/13/2021,5/14/2021,6/1/2021,3/11/2021,
,0.1800,0.1800,Regular,Quarterly,2/11/2021,2/12/2021,3/1/2021,1/29/2021,
2020,,,,,,,,,
,0.1800,0.1800,Regular,Quarterly,11/12/2020,11/13/2020,12/1/2020,9/17/2020,
,0.1800,0.1800,Regular,Quarterly,8/13/2020,8/14/2020,9/1/2020,6/25/2020,
,0.1600,0.1600,Regular,Quarterly,5/14/2020,5/15/2020,6/1/2020,3/12/2020,
,0.1600,0.1600,Regular,Quarterly,2/13/2020,2/14/2020,3/1/2020,1/24/2020,
2019,,,,,,,,,
,0.1600,0.1600,Regular,Quarterly,11/14/2019,11/15/2019,12/1/2019,9/19/2019,
,0.1600,0.1600,Regular,Quarterly,8/14/2019,8/15/2019,9/1/2019,6/27/2019,
,0.1400,0.1400,Regular,Quarterly,5/14/2019,5/15/2019,6/1/2019,3/14/2019,
,0.1400,0.1400,Regular,Quarterly,2/14/2019,2/15/2019,3/1/2019,1/25/2019,
2018,,,,,,,,,
,0.1400,0.1400,Regular,Quarterly,11/14/2018,11/15/2018,12/1/2018,9/20/2018,
,0.1400,0.1400,Regular,Quarterly,8/14/2018,8/15/2018,9/1/2018,6/28/2018,
,0.1250,0.1250,Regular,Quarterly,5/14/2018,5/15/2018,6/1/2018,3/15/2018,
,0.1250,0.1250,Regular,Quarterly,2/14/2018,2/15/2018,3/1/2018,1/19/2018,
2017,,,,,,,,,
,0.1250,0.1250,Regular,Quarterly,11/14/2017,11/15/2017,12/1/2017,9/14/2017,
,0.1250,0.1250,Regular,Quarterly,8/11/2017,8/15/2017,9/1/2017,6/22/2017,
,0.1200,0.1200,Regular,Quarterly,5/11/2017,5/15/2017,6/1/2017,3/9/2017,
,0.1200,0.1200,Regular,Quarterly,2/13/2017,2/15/2017,3/1/2017,1/13/2017,
2016,,,,,,,,,
,0.1200,0.1200,Regular,Quarterly,11/10/2016,11/15/2016,12/1/2016,9/15/2016,
,0.1200,0.1200,Regular,Quarterly,8/11/2016,8/15/2016,9/1/2016,6/23/2016,
,0.1050,0.1050,Regular,Quarterly,5/11/2016,5/13/2016,6/1/2016,3/10/2016,
,0.1050,0.1050,Regular,Quarterly,2/10/2016,2/15/2016,3/1/2016,1/15/2016,
2015,,,,,,,,,
,0.1050,0.1050,Regular,Quarterly,11/10/2015,11/13/2015,12/1/2015,9/17/2015,
,0.1050,0.1050,Regular,Quarterly,8/12/2015,8/14/2015,9/1/2015,6/25/2015,
,0.1850,0.0925,Regular,Quarterly,5/13/2015,5/15/2015,6/1/2015,3/12/2015,
,0.1850,0.0925,Regular,Quarterly,2/11/2015,2/16/2015,3/1/2015,1/16/2015,
2014,,,,,,,,,
,0.1850,0.0925,Regular,Quarterly,11/12/2014,11/14/2014,12/1/2014,9/18/2014,
,0.1650,0.0825,Regular,Quarterly,8/13/2014,8/15/2014,9/1/2014,6/26/2014,
,0.1650,0.0825,Regular,Quarterly,5/13/2014,5/15/2014,6/1/2014,3/13/2014,
,0.1650,0.0825,Regular,Quarterly,2/12/2014,2/15/2014,3/1/2014,1/17/2014,
2013,,,,,,,,,
,0.1650,0.0825,Regular,Quarterly,11/13/2013,11/15/2013,12/1/2013,9/19/2013,
,0.1500,0.0750,Regular,Quarterly,8/13/2013,8/15/2013,9/1/2013,6/27/2013,
,0.1500,0.0750,Regular,Quarterly,5/13/2013,5/15/2013,6/1/2013,3/14/2013,
,0.1500,0.0750,Regular,Quarterly,2/13/2013,2/15/2013,3/1/2013,1/18/2013,
2012,,,,,,,,,
,0.1500,0.0750,Regular,Quarterly,11/13/2012,11/15/2012,12/1/2012,,
,0.1150,0.0575,Regular,Quarterly,8/13/2012,8/15/2012,9/1/2012,,
,0.1150,0.0575,Regular,Quarterly,5/11/2012,5/15/2012,6/1/2012,,
,0.1150,0.0575,Regular,Quarterly,2/13/2012,2/15/2012,3/1/2012,,
2011,,,,,,,,,
,0.1150,0.0575,Regular,Quarterly,11/10/2011,11/15/2011,12/1/2011,,
,0.1050,0.0525,Regular,Quarterly,8/11/2011,8/15/2011,9/1/2011,,
,0.1050,0.0525,Regular,Quarterly,5/12/2011,5/16/2011,6/1/2011,,
,0.1050,0.0525,Regular,Quarterly,2/11/2011,2/15/2011,3/1/2011,,
2010,,,,,,,,,
,0.1050,0.0525,Regular,Quarterly,11/10/2010,11/15/2010,12/1/2010,,
,0.0950,0.0475,Regular,Quarterly,8/12/2010,8/16/2010,9/1/2010,,
,0.0950,0.0475,Regular,Quarterly,5/12/2010,5/14/2010,6/1/2010,,
,0.0950,0.0475,Regular,Quarterly,2/10/2010,2/12/2010,3/1/2010,,
2009,,,,,,,,,
,0.0950,0.0475,Regular,Quarterly,11/12/2009,11/16/2009,12/1/2009,,
,0.0900,0.0450,Regular,Quarterly,8/12/2009,8/14/2009,9/1/2009,,
,0.0900,0.0450,Regular,Quarterly,5/13/2009,5/15/2009,6/1/2009,,
,0.0900,0.0450,Regular,Quarterly,2/11/2009,2/13/2009,3/1/2009,,
2008,,,,,,,,,
,0.0900,0.0450,Regular,Quarterly,11/12/2008,11/14/2008,12/1/2008,,
,0.0900,0.0450,Regular,Quarterly,8/13/2008,8/15/2008,9/1/2008,,
,0.0900,0.0450,Regular,Quarterly,5/13/2008,5/15/2008,6/1/2008,,
,0.0750,0.0375,Regular,Quarterly,2/13/2008,2/15/2008,3/1/2008,,
2007,,,,,,,,,
,0.0750,0.0375,Regular,Quarterly,11/13/2007,11/15/2007,12/1/2007,,
,0.0750,0.0375,Regular,Quarterly,8/13/2007,8/15/2007,9/1/2007,,
,0.0750,0.0375,Regular,Quarterly,5/11/2007,5/15/2007,6/1/2007,,
,0.0650,0.0325,Regular,Quarterly,2/13/2007,2/15/2007,3/1/2007,,
2006,,,,,,,,,
,0.0650,0.0325,Regular,Quarterly,11/13/2006,11/15/2006,12/1/2006,,
,0.0650,0.0325,Regular,Quarterly,8/11/2006,8/15/2006,9/1/2006,,
,0.0650,0.0325,Regular,Quarterly,5/11/2006,5/15/2006,6/1/2006,,
1988,,,,,,,,,
,40.0000,5.0000,Special,Annual,10/31/1988,10/14/1988,10/28/1988,,
,0.2800,0.0350,Regular,Quarterly,8/4/1988,8/10/1988,9/1/1988,,
,0.2800,0.0350,Regular,Quarterly,5/4/1988,5/10/1988,6/1/1988,,
,0.2625,0.0328,Regular,Quarterly,2/9/1988,2/16/1988,3/1/1988,,
1987,,,,,,,,,
,0.2625,0.0328,Regular,Quarterly,11/3/1987,11/9/1987,12/1/1987,,
,0.2625,0.0328,Regular,Quarterly,7/29/1987,8/4/1987,9/1/1987,,
,0.2625,0.0328,Regular,Quarterly,4/27/1987,5/1/1987,6/1/1987,,
,0.2625,0.0328,Regular,Quarterly,2/10/1987,2/17/1987,3/1/1987,,
1986,,,,,,,,,
,0.2625,0.0328,Regular,Quarterly,10/28/1986,11/3/1986,12/1/1986,,
,0.5250,0.0328,Regular,Quarterly,7/28/1986,8/1/1986,9/1/1986,,
,0.5000,0.0313,Regular,Quarterly,4/28/1986,5/2/1986,6/1/1986,,
