Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.2500,0.2500,Regular,Monthly,6/6/2025,6/6/2025,6/13/2025,2/24/2025,
,0.2500,0.2500,Regular,Monthly,5/8/2025,5/8/2025,5/15/2025,2/24/2025,
,0.2500,0.2500,Regular,Monthly,4/8/2025,4/8/2025,4/15/2025,2/24/2025,
,0.3000,0.3000,Special,Other,3/20/2025,3/20/2025,3/27/2025,2/24/2025,
,0.2500,0.2500,Regular,Monthly,3/7/2025,3/7/2025,3/14/2025,11/5/2024,
,0.2500,0.2500,Regular,Monthly,2/7/2025,2/7/2025,2/14/2025,11/5/2024,
,0.2500,0.2500,Regular,Monthly,1/8/2025,1/8/2025,1/15/2025,11/4/2024,
2024,,,,,,,,,
,0.3000,0.3000,Special,Other,12/20/2024,12/20/2024,12/27/2024,11/5/2024,
,0.2450,0.2450,Regular,Monthly,12/6/2024,12/6/2024,12/13/2024,8/5/2024,
,0.2450,0.2450,Regular,Monthly,11/8/2024,11/8/2024,11/15/2024,8/5/2024,
,0.2450,0.2450,Regular,Monthly,10/8/2024,10/8/2024,10/15/2024,8/5/2024,
,0.3000,0.3000,Special,Other,9/20/2024,9/20/2024,9/27/2024,8/5/2024,
,0.2450,0.2450,Regular,Monthly,9/6/2024,9/6/2024,9/13/2024,5/6/2024,
,0.2450,0.2450,Regular,Monthly,8/8/2024,8/8/2024,8/15/2024,5/6/2024,
,0.2450,0.2450,Regular,Monthly,7/8/2024,7/8/2024,7/15/2024,5/6/2024,
,0.3000,0.3000,Special,Other,6/21/2024,6/21/2024,6/27/2024,5/6/2024,
,0.2400,0.2400,Regular,Monthly,6/7/2024,6/7/2024,6/14/2024,2/20/2024,
,0.2400,0.2400,Regular,Monthly,5/7/2024,5/8/2024,5/15/2024,2/20/2024,
,0.2400,0.2400,Regular,Monthly,4/5/2024,4/8/2024,4/15/2024,2/20/2024,
,0.3000,0.3000,Special,Other,3/19/2024,3/20/2024,3/27/2024,2/20/2024,
,0.2400,0.2400,Regular,Monthly,3/7/2024,3/8/2024,3/15/2024,11/1/2023,
,0.2400,0.2400,Regular,Monthly,2/7/2024,2/8/2024,2/15/2024,11/1/2023,
,0.2400,0.2400,Regular,Monthly,1/4/2024,1/5/2024,1/12/2024,10/31/2023,
2023,,,,,,,,,
,0.2750,0.2750,Special,Other,12/19/2023,12/20/2023,12/27/2023,11/1/2023,
,0.2350,0.2350,Regular,Monthly,12/7/2023,12/8/2023,12/15/2023,8/1/2023,
,0.2350,0.2350,Regular,Monthly,11/7/2023,11/8/2023,11/15/2023,8/1/2023,
,0.2350,0.2350,Regular,Monthly,10/5/2023,10/6/2023,10/13/2023,8/1/2023,
,0.2750,0.2750,Special,Other,9/19/2023,9/20/2023,9/27/2023,8/1/2023,
,0.2300,0.2300,Regular,Monthly,9/7/2023,9/8/2023,9/15/2023,5/1/2023,
,0.2300,0.2300,Regular,Monthly,8/7/2023,8/8/2023,8/15/2023,5/1/2023,
,0.2300,0.2300,Regular,Monthly,7/6/2023,7/7/2023,7/14/2023,5/1/2023,
,0.2250,0.2250,Special,Other,6/20/2023,6/21/2023,6/28/2023,5/1/2023,
,0.2250,0.2250,Regular,Monthly,6/7/2023,6/8/2023,6/15/2023,2/21/2023,
,0.2250,0.2250,Regular,Monthly,5/5/2023,5/8/2023,5/15/2023,2/21/2023,
,0.2250,0.2250,Regular,Monthly,4/5/2023,4/7/2023,4/14/2023,2/21/2023,
,0.1750,0.1750,Special,Quarterly,3/20/2023,3/21/2023,3/28/2023,2/21/2023,
