Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.2685,0.2685,Regular,Monthly,5/1/2025,5/1/2025,5/15/2025,4/8/2025,
,0.2685,0.2685,Regular,Monthly,4/1/2025,4/1/2025,4/15/2025,3/12/2025,
,0.2680,0.2680,Regular,Monthly,3/3/2025,3/3/2025,3/14/2025,2/19/2025,
,0.2640,0.2640,Regular,Monthly,2/3/2025,2/3/2025,2/14/2025,1/14/2025,
,0.2640,0.2640,Regular,Monthly,1/2/2025,1/2/2025,1/15/2025,12/10/2024,
2024,,,,,,,,,
,0.2635,0.2635,Regular,Monthly,12/2/2024,12/2/2024,12/13/2024,11/8/2024,
,0.2635,0.2635,Regular,Monthly,11/1/2024,11/1/2024,11/15/2024,10/8/2024,
,0.2635,0.2635,Regular,Monthly,10/1/2024,10/1/2024,10/15/2024,9/10/2024,
,0.2630,0.2630,Regular,Monthly,9/3/2024,9/3/2024,9/13/2024,8/15/2024,
,0.2630,0.2630,Regular,Monthly,8/1/2024,8/1/2024,8/15/2024,7/9/2024,
,0.2630,0.2630,Regular,Monthly,7/1/2024,7/1/2024,7/15/2024,6/11/2024,
,0.2625,0.2625,Regular,Monthly,6/3/2024,6/3/2024,6/14/2024,5/17/2024,
,0.2570,0.2570,Regular,Monthly,4/30/2024,5/1/2024,5/15/2024,4/9/2024,
,0.2570,0.2570,Regular,Monthly,3/28/2024,4/1/2024,4/15/2024,3/13/2024,
,0.2565,0.2565,Regular,Monthly,2/29/2024,3/1/2024,3/15/2024,2/13/2024,
,0.2565,0.2565,Regular,Monthly,1/31/2024,2/1/2024,2/15/2024,1/9/2024,
2023,,,,,,,,,
,0.2565,0.2565,Regular,Monthly,12/29/2023,1/2/2024,1/12/2024,12/12/2023,
,0.2560,0.2560,Regular,Monthly,11/30/2023,12/1/2023,12/15/2023,11/8/2023,
,0.2560,0.2560,Regular,Monthly,10/31/2023,11/1/2023,11/15/2023,10/10/2023,
,0.2560,0.2560,Regular,Monthly,9/29/2023,10/2/2023,10/13/2023,9/12/2023,
,0.2555,0.2555,Regular,Monthly,8/31/2023,9/1/2023,9/15/2023,8/15/2023,
,0.2555,0.2555,Regular,Monthly,7/31/2023,8/1/2023,8/15/2023,7/11/2023,
,0.2555,0.2555,Regular,Monthly,6/30/2023,7/3/2023,7/14/2023,6/13/2023,
,0.2550,0.2550,Regular,Monthly,5/31/2023,6/1/2023,6/15/2023,5/15/2023,
,0.2550,0.2550,Regular,Monthly,4/28/2023,5/1/2023,5/15/2023,4/11/2023,
,0.2550,0.2550,Regular,Monthly,3/31/2023,4/3/2023,4/14/2023,3/14/2023,
,0.2545,0.2545,Regular,Monthly,2/28/2023,3/1/2023,3/15/2023,2/14/2023,
,0.2485,0.2485,Regular,Monthly,1/31/2023,2/1/2023,2/15/2023,1/10/2023,
2022,,,,,,,,,
,0.2485,0.2485,Regular,Monthly,12/30/2022,1/3/2023,1/13/2023,12/13/2022,
,0.2480,0.2480,Regular,Monthly,11/30/2022,12/1/2022,12/15/2022,11/8/2022,
,0.2480,0.2480,Regular,Monthly,10/31/2022,11/1/2022,11/15/2022,10/11/2022,
,0.2480,0.2480,Regular,Monthly,9/30/2022,10/3/2022,10/14/2022,9/13/2022,
,0.2475,0.2475,Regular,Monthly,8/31/2022,9/1/2022,9/15/2022,8/16/2022,
,0.2475,0.2475,Regular,Monthly,7/29/2022,8/1/2022,8/15/2022,7/12/2022,
,0.2475,0.2475,Regular,Monthly,6/30/2022,7/1/2022,7/15/2022,6/14/2022,
,0.2470,0.2470,Regular,Monthly,5/31/2022,6/1/2022,6/15/2022,5/17/2022,
,0.2470,0.2470,Regular,Monthly,4/29/2022,5/2/2022,5/13/2022,4/12/2022,
,0.2470,0.2470,Regular,Monthly,3/31/2022,4/1/2022,4/15/2022,3/15/2022,
,0.2465,0.2465,Regular,Monthly,2/28/2022,3/1/2022,3/15/2022,2/15/2022,
,0.2465,0.2465,Regular,Monthly,1/31/2022,2/1/2022,2/15/2022,1/11/2022,
2021,,,,,,,,,
,0.2465,0.2465,Regular,Monthly,12/31/2021,1/3/2022,1/14/2022,12/15/2021,
,0.2460,0.2460,Regular,Monthly,11/30/2021,12/1/2021,12/15/2021,11/16/2021,
,0.2360,0.2285,Regular,Monthly,11/1/2021,11/2/2021,11/15/2021,10/14/2021,
,0.2360,0.2285,Regular,Monthly,9/30/2021,10/1/2021,10/15/2021,9/14/2021,
,0.2355,0.2281,Regular,Monthly,8/31/2021,9/1/2021,9/15/2021,8/17/2021,
,0.2355,0.2281,Regular,Monthly,7/30/2021,8/2/2021,8/13/2021,7/13/2021,
,0.2355,0.2281,Regular,Monthly,6/30/2021,7/1/2021,7/15/2021,6/15/2021,
,0.2350,0.2276,Regular,Monthly,5/28/2021,6/1/2021,6/15/2021,5/18/2021,
,0.2350,0.2276,Regular,Monthly,4/30/2021,5/3/2021,5/14/2021,4/13/2021,
,0.2350,0.2276,Regular,Monthly,3/31/2021,4/1/2021,4/15/2021,3/16/2021,
,0.2345,0.2271,Regular,Monthly,2/26/2021,3/1/2021,3/15/2021,2/17/2021,
,0.2345,0.2271,Regular,Monthly,1/29/2021,2/1/2021,2/16/2021,1/14/2021,
2020,,,,,,,,,
,0.2345,0.2271,Regular,Monthly,12/31/2020,1/4/2021,1/15/2021,12/8/2020,
,0.2340,0.2266,Regular,Monthly,11/30/2020,12/1/2020,12/15/2020,11/10/2020,
