Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.5867,0.5867,Regular,Monthly,3/26/2025,3/26/2025,3/28/2025,3/25/2025,
,0.6138,0.6138,Regular,Monthly,2/26/2025,2/26/2025,2/28/2025,2/25/2025,
,0.6241,0.6241,Regular,Monthly,1/22/2025,1/22/2025,1/24/2025,1/21/2025,
2024,,,,,,,,,
,0.6216,0.6216,Regular,Monthly,12/24/2024,12/24/2024,12/26/2024,12/23/2024,
,0.6116,0.6116,Regular,Monthly,11/20/2024,11/20/2024,11/21/2024,11/19/2024,
,0.6098,0.6098,Regular,Monthly,10/23/2024,10/23/2024,10/24/2024,10/22/2024,
,0.6022,0.6022,Regular,Monthly,9/25/2024,9/25/2024,9/26/2024,9/24/2024,
,0.6443,0.6443,Regular,Monthly,8/21/2024,8/21/2024,8/22/2024,8/20/2024,
,0.6186,0.6186,Regular,Monthly,7/24/2024,7/24/2024,7/25/2024,7/23/2024,
,0.6233,0.6233,Regular,Monthly,6/26/2024,6/26/2024,6/27/2024,6/26/2024,
,0.6129,0.6129,Regular,Monthly,5/22/2024,5/23/2024,5/24/2024,5/21/2024,
,0.5867,0.5867,Regular,Monthly,4/24/2024,4/25/2024,4/26/2024,4/23/2024,
,0.6045,0.6045,Regular,Monthly,3/20/2024,3/21/2024,3/22/2024,3/19/2024,
,0.5939,0.5939,Regular,Monthly,2/21/2024,2/22/2024,2/23/2024,2/20/2024,
