Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.1650,0.1650,Regular,Quarterly,2/25/2025,2/25/2025,3/10/2025,1/22/2025,
2024,,,,,,,,,
,0.1650,0.1650,Regular,Quarterly,11/12/2024,11/12/2024,12/10/2024,10/22/2024,
,0.1500,0.1500,Regular,Quarterly,8/12/2024,8/12/2024,9/10/2024,7/23/2024,
,0.1500,0.1500,Regular,Quarterly,5/9/2024,5/10/2024,6/10/2024,4/23/2024,
,0.1500,0.1500,Regular,Quarterly,2/20/2024,2/21/2024,3/11/2024,1/22/2024,
2023,,,,,,,,,
,0.1500,0.1500,Regular,Quarterly,11/9/2023,11/10/2023,12/11/2023,10/24/2023,
,0.1300,0.1300,Regular,Quarterly,8/9/2023,8/10/2023,9/8/2023,7/25/2023,
,0.1300,0.1300,Regular,Quarterly,5/9/2023,5/10/2023,6/9/2023,4/25/2023,
,0.1300,0.1300,Regular,Quarterly,2/9/2023,2/10/2023,3/10/2023,1/23/2023,
2022,,,,,,,,,
,0.1300,0.1300,Regular,Quarterly,11/9/2022,11/10/2022,12/9/2022,10/25/2022,
,0.1000,0.1000,Regular,Quarterly,8/9/2022,8/10/2022,9/9/2022,7/26/2022,
,0.1000,0.1000,Regular,Quarterly,5/9/2022,5/10/2022,6/10/2022,4/26/2022,
,0.1000,0.1000,Regular,Quarterly,2/9/2022,2/10/2022,3/10/2022,1/25/2022,
2021,,,,,,,,,
,0.1000,0.1000,Regular,Quarterly,11/9/2021,11/10/2021,12/10/2021,10/26/2021,
,0.0800,0.0800,Special,Other,11/9/2021,11/10/2021,12/10/2021,10/26/2021,
,0.0800,0.0800,Regular,Quarterly,8/9/2021,8/10/2021,9/10/2021,7/27/2021,
,0.0800,0.0800,Regular,Quarterly,5/7/2021,5/10/2021,6/10/2021,4/27/2021,
,0.0800,0.0800,Regular,Quarterly,2/9/2021,2/10/2021,3/10/2021,1/26/2021,
2020,,,,,,,,,
,0.0800,0.0533,Regular,Quarterly,11/9/2020,11/10/2020,12/10/2020,10/27/2020,
,0.1300,0.0867,Special,Other,11/9/2020,11/10/2020,12/10/2020,10/27/2020,
,0.0800,0.0533,Regular,Quarterly,8/7/2020,8/10/2020,9/10/2020,7/28/2020,
,0.0800,0.0533,Regular,Quarterly,5/8/2020,5/11/2020,6/10/2020,4/28/2020,
,0.1200,0.0800,Regular,Quarterly,2/7/2020,2/10/2020,3/10/2020,1/28/2020,
2019,,,,,,,,,
,0.1050,0.0700,Regular,Quarterly,11/7/2019,11/11/2019,12/10/2019,10/22/2019,
,0.0500,0.0333,Special,Other,11/7/2019,11/11/2019,12/10/2019,10/22/2019,
,0.1050,0.0700,Regular,Quarterly,8/8/2019,8/9/2019,9/10/2019,7/23/2019,
,0.1050,0.0700,Regular,Quarterly,5/9/2019,5/10/2019,6/10/2019,4/23/2019,
,0.1050,0.0700,Regular,Quarterly,2/8/2019,2/11/2019,3/11/2019,1/22/2019,
2018,,,,,,,,,
,0.1400,0.0622,Regular,Quarterly,11/8/2018,11/9/2018,12/10/2018,10/23/2018,
,0.1400,0.0622,Special,Other,11/8/2018,11/9/2018,12/10/2018,10/23/2018,
,0.1400,0.0622,Regular,Quarterly,8/9/2018,8/10/2018,9/10/2018,7/24/2018,
,0.1400,0.0622,Regular,Quarterly,5/9/2018,5/10/2018,6/11/2018,4/24/2018,
,0.1400,0.0622,Regular,Quarterly,2/8/2018,2/9/2018,3/9/2018,1/23/2018,
2017,,,,,,,,,
,0.1150,0.0511,Regular,Quarterly,11/9/2017,11/10/2017,12/11/2017,10/24/2017,
,0.1000,0.0444,Special,Other,11/9/2017,11/10/2017,12/11/2017,10/24/2017,
,0.1150,0.0511,Regular,Quarterly,8/8/2017,8/10/2017,9/11/2017,7/25/2017,
,0.1150,0.0511,Regular,Quarterly,5/8/2017,5/10/2017,6/9/2017,,
,0.1150,0.0511,Regular,Quarterly,2/8/2017,2/10/2017,3/10/2017,1/24/2017,
2016,,,,,,,,,
,0.1000,0.0444,Regular,Quarterly,11/8/2016,11/10/2016,12/9/2016,10/25/2016,
,0.1000,0.0444,Special,Other,11/8/2016,11/10/2016,12/9/2016,10/25/2016,
,0.1000,0.0444,Regular,Quarterly,8/8/2016,8/10/2016,9/9/2016,7/26/2016,
,0.1000,0.0444,Regular,Quarterly,5/6/2016,5/10/2016,6/10/2016,4/26/2016,
,0.1000,0.0444,Regular,Quarterly,2/8/2016,2/10/2016,3/10/2016,1/26/2016,
2015,,,,,,,,,
,0.0800,0.0356,Regular,Quarterly,11/6/2015,11/10/2015,12/10/2015,10/27/2015,
,0.1000,0.0444,Special,Other,11/6/2015,11/10/2015,12/10/2015,10/27/2015,
,0.0800,0.0356,Regular,Quarterly,8/6/2015,8/10/2015,9/10/2015,7/28/2015,
,0.0800,0.0356,Regular,Quarterly,5/6/2015,5/8/2015,6/10/2015,4/28/2015,
,0.1200,0.0356,Regular,Quarterly,2/6/2015,2/10/2015,3/10/2015,1/27/2015,
2014,,,,,,,,,
,0.1050,0.0311,Regular,Quarterly,11/6/2014,11/10/2014,12/10/2014,10/28/2014,
,0.1000,0.0296,Special,Other,11/6/2014,11/10/2014,12/10/2014,10/28/2014,
,0.1050,0.0311,Regular,Quarterly,8/6/2014,8/8/2014,9/10/2014,7/22/2014,
,0.1050,0.0311,Regular,Quarterly,5/7/2014,5/9/2014,6/10/2014,4/22/2014,
,0.1050,0.0311,Regular,Quarterly,2/6/2014,2/10/2014,3/10/2014,1/28/2014,
2013,,,,,,,,,
,0.0900,0.0267,Regular,Quarterly,11/6/2013,11/8/2013,12/10/2013,10/22/2013,
,0.0900,0.0267,Special,Other,11/6/2013,11/8/2013,12/10/2013,10/22/2013,
,0.0900,0.0267,Regular,Quarterly,8/7/2013,8/9/2013,9/10/2013,7/23/2013,
,0.0900,0.0267,Regular,Quarterly,5/8/2013,5/10/2013,6/10/2013,4/23/2013,
,0.0900,0.0267,Regular,Quarterly,2/6/2013,2/8/2013,3/8/2013,1/22/2013,
2012,,,,,,,,,
,0.0800,0.0237,Regular,Quarterly,11/7/2012,11/9/2012,12/10/2012,10/23/2012,
,0.1200,0.0356,Special,Other,11/7/2012,11/9/2012,12/10/2012,10/23/2012,
,0.0800,0.0237,Regular,Quarterly,8/8/2012,8/10/2012,9/10/2012,,
,0.0800,0.0237,Regular,Quarterly,5/8/2012,5/10/2012,6/8/2012,,
,0.0800,0.0237,Regular,Quarterly,2/8/2012,2/10/2012,3/9/2012,,
2011,,,,,,,,,
,0.0700,0.0207,Regular,Quarterly,11/8/2011,11/10/2011,12/9/2011,,
,0.0700,0.0207,Regular,Quarterly,8/8/2011,8/10/2011,9/9/2011,,
,0.0700,0.0207,Regular,Quarterly,5/6/2011,5/10/2011,6/10/2011,,
,0.0700,0.0207,Regular,Quarterly,2/8/2011,2/10/2011,3/10/2011,,
2010,,,,,,,,,
,0.0900,0.0178,Regular,Quarterly,11/8/2010,11/10/2010,12/10/2010,,
,0.0900,0.0178,Regular,Quarterly,8/6/2010,8/10/2010,9/10/2010,,
,0.0900,0.0178,Regular,Quarterly,5/6/2010,5/10/2010,6/10/2010,,
,0.0900,0.0178,Regular,Quarterly,2/8/2010,2/10/2010,3/10/2010,,
2009,,,,,,,,,
,0.0700,0.0138,Regular,Quarterly,11/6/2009,11/10/2009,12/10/2009,,
,0.0700,0.0138,Regular,Quarterly,8/6/2009,8/10/2009,9/10/2009,,
,0.0700,0.0138,Regular,Quarterly,5/6/2009,5/8/2009,6/10/2009,,
,0.0700,0.0138,Regular,Quarterly,2/6/2009,2/10/2009,3/10/2009,,
2008,,,,,,,,,
,0.0625,0.0123,Regular,Quarterly,11/6/2008,11/10/2008,12/10/2008,,
,0.0625,0.0123,Regular,Quarterly,8/6/2008,8/8/2008,9/10/2008,,
,0.0625,0.0123,Regular,Quarterly,5/7/2008,5/9/2008,6/10/2008,,
,0.0625,0.0123,Regular,Quarterly,2/6/2008,2/8/2008,3/10/2008,,
2007,,,,,,,,,
,0.0750,0.0099,Regular,Quarterly,11/7/2007,11/12/2007,12/10/2007,,
,0.0750,0.0099,Regular,Quarterly,8/8/2007,8/10/2007,9/10/2007,,
,0.0750,0.0099,Regular,Quarterly,5/9/2007,5/11/2007,6/11/2007,,
,0.0750,0.0099,Regular,Quarterly,2/8/2007,2/12/2007,3/12/2007,,
2006,,,,,,,,,
,0.0625,0.0082,Regular,Quarterly,11/8/2006,11/10/2006,12/11/2006,,
,0.0625,0.0082,Regular,Quarterly,8/9/2006,8/11/2006,9/11/2006,,
,0.0625,0.0082,Regular,Quarterly,5/5/2006,5/9/2006,6/9/2006,,
,0.0625,0.0082,Regular,Quarterly,2/8/2006,2/10/2006,3/10/2006,,
2005,,,,,,,,,
,0.0500,0.0066,Regular,Quarterly,11/8/2005,11/11/2005,12/12/2005,,
,0.0500,0.0066,Regular,Quarterly,8/10/2005,8/12/2005,9/12/2005,,
,0.0500,0.0066,Regular,Quarterly,5/6/2005,5/10/2005,6/10/2005,,
,0.0750,0.0066,Regular,Quarterly,2/8/2005,2/10/2005,3/10/2005,,
2004,,,,,,,,,
,0.0600,0.0053,Regular,Quarterly,11/8/2004,11/10/2004,12/10/2004,,
,0.0600,0.0053,Regular,Quarterly,8/6/2004,8/10/2004,9/10/2004,,
,0.0600,0.0053,Regular,Quarterly,5/6/2004,5/10/2004,6/10/2004,,
,0.0600,0.0053,Regular,Quarterly,2/6/2004,2/10/2004,3/10/2004,,
2003,,,,,,,,,
,0.0500,0.0044,Regular,Quarterly,11/6/2003,11/10/2003,12/10/2003,,
,0.0500,0.0044,Regular,Quarterly,8/7/2003,8/11/2003,9/10/2003,,
,0.0500,0.0044,Regular,Other,5/7/2003,5/9/2003,6/10/2003,,
,0.0750,0.0044,Regular,Quarterly,2/6/2003,2/10/2003,3/10/2003,,
2002,,,,,,,,,
,0.0500,0.0029,Regular,Quarterly,11/6/2002,11/8/2002,12/10/2002,,
,0.0500,0.0029,Regular,Quarterly,8/7/2002,8/9/2002,9/10/2002,,
,0.0500,0.0029,Regular,Quarterly,5/8/2002,5/10/2002,6/10/2002,,
,0.0500,0.0029,Regular,Quarterly,2/7/2002,2/11/2002,3/11/2002,,
2001,,,,,,,,,
,0.0500,0.0029,Regular,Quarterly,11/7/2001,11/9/2001,12/10/2001,,
,0.0500,0.0029,Regular,Quarterly,8/8/2001,8/10/2001,9/10/2001,,
,0.0500,0.0029,Regular,Quarterly,5/8/2001,5/10/2001,6/11/2001,,
,0.0500,0.0029,Regular,Quarterly,2/7/2001,2/9/2001,3/9/2001,,
2000,,,,,,,,,
,0.0500,0.0029,Regular,Quarterly,11/8/2000,11/10/2000,12/11/2000,,
,0.0500,0.0029,Regular,Quarterly,8/8/2000,8/10/2000,9/11/2000,,
,0.0500,0.0029,Regular,Quarterly,5/8/2000,5/10/2000,6/12/2000,,
,0.0500,0.0029,Regular,Quarterly,2/8/2000,2/10/2000,3/10/2000,,
1999,,,,,,,,,
,0.0500,0.0029,Regular,Quarterly,11/8/1999,11/10/1999,12/10/1999,,
,0.0500,0.0029,Regular,Quarterly,8/6/1999,8/10/1999,9/10/1999,,
,0.0500,0.0029,Regular,Quarterly,5/6/1999,5/10/1999,6/10/1999,,
,0.0500,0.0029,Regular,Quarterly,2/8/1999,2/10/1999,3/10/1999,,
1998,,,,,,,,,
,0.0500,0.0029,Regular,Quarterly,11/6/1998,11/10/1998,12/10/1998,,
,0.1500,0.0088,Regular,Quarterly,8/6/1998,8/10/1998,9/10/1998,,
,0.1500,0.0088,Regular,Quarterly,5/6/1998,5/8/1998,6/10/1998,,
,0.1500,0.0088,Regular,Quarterly,2/6/1998,2/10/1998,3/10/1998,,
1997,,,,,,,,,
,0.1500,0.0088,Regular,Quarterly,11/6/1997,11/10/1997,12/10/1997,,
,0.1500,0.0088,Regular,Quarterly,8/6/1997,8/8/1997,9/10/1997,,
,0.1500,0.0088,Regular,Quarterly,5/7/1997,5/9/1997,6/10/1997,,
,0.1500,0.0088,Regular,Quarterly,2/6/1997,2/10/1997,3/10/1997,,
1996,,,,,,,,,
,0.1450,0.0085,Regular,Quarterly,11/6/1996,11/8/1996,12/9/1996,,
,0.1450,0.0085,Regular,Quarterly,8/7/1996,8/9/1996,9/10/1996,,
,0.1450,0.0085,Regular,Quarterly,5/8/1996,5/10/1996,6/10/1996,,
,0.1450,0.0085,Regular,Quarterly,2/7/1996,2/9/1996,3/11/1996,,
1995,,,,,,,,,
,0.1400,0.0082,Regular,Quarterly,11/8/1995,11/10/1995,12/8/1995,,
,0.1400,0.0082,Regular,Quarterly,8/8/1995,8/10/1995,9/8/1995,,
,0.1400,0.0082,Regular,Quarterly,5/4/1995,5/10/1995,6/9/1995,,
,0.1400,0.0082,Regular,Quarterly,2/6/1995,2/10/1995,3/10/1995,,
1994,,,,,,,,,
,0.1250,0.0073,Regular,Quarterly,11/4/1994,11/10/1994,12/9/1994,,
,0.1250,0.0073,Regular,Quarterly,8/4/1994,8/10/1994,9/9/1994,,
,0.1250,0.0073,Regular,Quarterly,5/4/1994,5/10/1994,6/10/1994,,
,0.1250,0.0073,Regular,Quarterly,2/4/1994,2/10/1994,3/10/1994,,
1993,,,,,,,,,
,0.1100,0.0064,Regular,Quarterly,11/4/1993,11/10/1993,12/10/1993,,
,0.1100,0.0064,Regular,Quarterly,8/4/1993,8/10/1993,9/10/1993,,
,0.1100,0.0064,Regular,Quarterly,5/4/1993,5/10/1993,6/10/1993,,
,0.1100,0.0064,Regular,Other,2/4/1993,2/10/1993,3/10/1993,,
1992,,,,,,,,,
,0.1500,0.0059,Regular,Quarterly,11/4/1992,11/10/1992,12/10/1992,,
,0.1500,0.0059,Regular,Quarterly,8/4/1992,8/10/1992,9/10/1992,,
,0.1500,0.0059,Regular,Quarterly,5/4/1992,5/8/1992,6/5/1992,,
,0.1500,0.0059,Regular,Quarterly,1/31/1992,2/6/1992,3/6/1992,,
1991,,,,,,,,,
,0.1450,0.0057,Regular,Quarterly,11/4/1991,11/8/1991,12/9/1991,,
,0.1450,0.0057,Regular,Quarterly,8/5/1991,8/9/1991,9/9/1991,,
,0.1450,0.0057,Regular,Quarterly,5/2/1991,5/8/1991,6/8/1991,,
,0.1450,0.0057,Regular,Quarterly,2/4/1991,2/8/1991,3/8/1991,,
1990,,,,,,,,,
,0.1400,0.0055,Regular,Quarterly,11/5/1990,11/9/1990,12/10/1990,,
,0.1400,0.0055,Regular,Quarterly,8/6/1990,8/10/1990,9/10/1990,,
,0.1400,0.0055,Regular,Quarterly,5/4/1990,5/10/1990,6/8/1990,,
,0.1400,0.0055,Regular,Quarterly,2/5/1990,2/9/1990,3/9/1990,,
1989,,,,,,,,,
,0.1350,0.0053,Regular,Quarterly,11/6/1989,11/10/1989,12/8/1989,,
,0.1350,0.0053,Regular,Quarterly,8/4/1989,8/10/1989,9/8/1989,,
Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.1650,0.1650,Regular,Quarterly,2/25/2025,2/25/2025,3/10/2025,1/22/2025,
2024,,,,,,,,,
,0.1650,0.1650,Regular,Quarterly,11/12/2024,11/12/2024,12/10/2024,10/22/2024,
,0.1500,0.1500,Regular,Quarterly,8/12/2024,8/12/2024,9/10/2024,7/23/2024,
,0.1500,0.1500,Regular,Quarterly,5/9/2024,5/10/2024,6/10/2024,4/23/2024,
,0.1500,0.1500,Regular,Quarterly,2/20/2024,2/21/2024,3/11/2024,1/22/2024,
2023,,,,,,,,,
,0.1500,0.1500,Regular,Quarterly,11/9/2023,11/10/2023,12/11/2023,10/24/2023,
,0.1300,0.1300,Regular,Quarterly,8/9/2023,8/10/2023,9/8/2023,7/25/2023,
,0.1300,0.1300,Regular,Quarterly,5/9/2023,5/10/2023,6/9/2023,4/25/2023,
,0.1300,0.1300,Regular,Quarterly,2/9/2023,2/10/2023,3/10/2023,1/23/2023,
2022,,,,,,,,,
,0.1300,0.1300,Regular,Quarterly,11/9/2022,11/10/2022,12/9/2022,10/25/2022,
,0.1000,0.1000,Regular,Quarterly,8/9/2022,8/10/2022,9/9/2022,7/26/2022,
,0.1000,0.1000,Regular,Quarterly,5/9/2022,5/10/2022,6/10/2022,4/26/2022,
,0.1000,0.1000,Regular,Quarterly,2/9/2022,2/10/2022,3/10/2022,1/25/2022,
2021,,,,,,,,,
,0.1000,0.1000,Regular,Quarterly,11/9/2021,11/10/2021,12/10/2021,10/26/2021,
,0.0800,0.0800,Special,Other,11/9/2021,11/10/2021,12/10/2021,10/26/2021,
,0.0800,0.0800,Regular,Quarterly,8/9/2021,8/10/2021,9/10/2021,7/27/2021,
,0.0800,0.0800,Regular,Quarterly,5/7/2021,5/10/2021,6/10/2021,4/27/2021,
,0.0800,0.0800,Regular,Quarterly,2/9/2021,2/10/2021,3/10/2021,1/26/2021,
2020,,,,,,,,,
,0.0800,0.0533,Regular,Quarterly,11/9/2020,11/10/2020,12/10/2020,10/27/2020,
,0.1300,0.0867,Special,Other,11/9/2020,11/10/2020,12/10/2020,10/27/2020,
,0.0800,0.0533,Regular,Quarterly,8/7/2020,8/10/2020,9/10/2020,7/28/2020,
,0.0800,0.0533,Regular,Quarterly,5/8/2020,5/11/2020,6/10/2020,4/28/2020,
,0.1200,0.0800,Regular,Quarterly,2/7/2020,2/10/2020,3/10/2020,1/28/2020,
2019,,,,,,,,,
,0.1050,0.0700,Regular,Quarterly,11/7/2019,11/11/2019,12/10/2019,10/22/2019,
,0.0500,0.0333,Special,Other,11/7/2019,11/11/2019,12/10/2019,10/22/2019,
,0.1050,0.0700,Regular,Quarterly,8/8/2019,8/9/2019,9/10/2019,7/23/2019,
