Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.2488,0.2488,Regular,Quarterly,3/26/2025,3/26/2025,3/31/2025,2/18/2025,
2024,,,,,,,,,
,0.2645,0.2645,Regular,Quarterly,12/11/2024,12/11/2024,12/16/2024,2/19/2024,
,0.7545,0.2515,Regular,Quarterly,9/25/2024,9/25/2024,9/30/2024,2/19/2024,
,0.8241,0.2747,Regular,Quarterly,6/26/2024,6/26/2024,7/1/2024,2/19/2024,
,0.6110,0.2037,Regular,Quarterly,3/20/2024,3/21/2024,3/25/2024,2/19/2024,
2023,,,,,,,,,
,0.7423,0.2474,Regular,Quarterly,12/6/2023,12/7/2023,12/11/2023,3/10/2023,
,0.6545,0.2182,Regular,Quarterly,9/20/2023,9/21/2023,9/25/2023,3/10/2023,
,0.6647,0.2216,Regular,Quarterly,6/21/2023,6/22/2023,6/26/2023,3/10/2023,
,0.5965,0.1988,Regular,Quarterly,3/22/2023,3/23/2023,3/27/2023,3/10/2023,
2022,,,,,,,,,
,0.7034,0.2345,Regular,Quarterly,12/7/2022,12/8/2022,12/12/2022,2/18/2022,
,0.6367,0.2122,Regular,Quarterly,9/21/2022,9/22/2022,9/26/2022,2/18/2022,
,0.7038,0.2346,Regular,Quarterly,6/22/2022,6/23/2022,6/27/2022,2/18/2022,
,0.5176,0.1725,Regular,Quarterly,3/23/2022,3/24/2022,3/28/2022,2/18/2022,
2021,,,,,,,,,
,0.6198,0.2066,Regular,Quarterly,12/8/2021,12/9/2021,12/13/2021,2/2/2021,
,0.5870,0.1957,Regular,Quarterly,9/22/2021,9/23/2021,9/27/2021,2/2/2021,
,0.5396,0.1799,Regular,Quarterly,6/23/2021,6/24/2021,6/28/2021,2/2/2021,
,0.5026,0.1675,Regular,Quarterly,3/24/2021,3/25/2021,3/29/2021,2/2/2021,
2020,,,,,,,,,
,0.6015,0.2005,Regular,Quarterly,12/10/2020,12/11/2020,12/15/2020,1/23/2020,
,0.5430,0.1810,Regular,Quarterly,9/23/2020,9/24/2020,9/28/2020,1/23/2020,
,0.4420,0.1473,Regular,Quarterly,6/24/2020,6/25/2020,6/29/2020,1/23/2020,
,0.4419,0.1473,Regular,Quarterly,3/25/2020,3/26/2020,3/30/2020,1/23/2020,
2019,,,,,,,,,
,0.4658,0.1553,Regular,Quarterly,12/12/2019,12/13/2019,12/17/2019,1/28/2019,
,0.4855,0.1618,Regular,Quarterly,9/25/2019,9/26/2019,9/30/2019,1/28/2019,
,0.4209,0.1403,Regular,Quarterly,6/26/2019,6/27/2019,7/1/2019,6/25/2019,
,0.3520,0.1173,Regular,Quarterly,3/20/2019,3/21/2019,3/25/2019,3/19/2019,
2018,,,,,,,,,
,0.4054,0.1351,Regular,Quarterly,12/12/2018,12/13/2018,12/17/2018,12/11/2018,
,0.3668,0.1223,Regular,Quarterly,9/25/2018,9/26/2018,9/28/2018,9/24/2018,
,0.4056,0.1352,Regular,Quarterly,6/26/2018,6/27/2018,6/29/2018,6/25/2018,
,0.2615,0.0872,Regular,Quarterly,3/16/2018,3/19/2018,3/22/2018,3/15/2018,
2017,,,,,,,,,
,0.3448,0.1149,Regular,Quarterly,12/18/2017,12/19/2017,12/22/2017,12/15/2017,
,0.3439,0.1146,Regular,Quarterly,9/18/2017,9/19/2017,9/22/2017,9/15/2017,
,0.3312,0.1104,Regular,Quarterly,6/19/2017,6/21/2017,6/23/2017,6/16/2017,
,0.3258,0.1086,Regular,Quarterly,3/20/2017,3/22/2017,3/24/2017,3/17/2017,
2016,,,,,,,,,
,0.3987,0.1329,Regular,Quarterly,12/19/2016,12/21/2016,12/23/2016,12/16/2016,
,0.2438,0.0813,Regular,Quarterly,9/19/2016,9/21/2016,9/23/2016,9/16/2016,
,0.3174,0.1058,Regular,Quarterly,6/20/2016,6/22/2016,6/24/2016,6/17/2016,
,0.2981,0.0994,Regular,Quarterly,3/21/2016,3/23/2016,3/28/2016,3/18/2016,
2015,,,,,,,,,
,0.2715,0.0905,Regular,Quarterly,12/21/2015,12/23/2015,12/28/2015,12/18/2015,
,0.2989,0.0996,Regular,Quarterly,9/21/2015,9/23/2015,9/25/2015,9/18/2015,
,0.3063,0.1021,Regular,Quarterly,6/22/2015,6/24/2015,6/26/2015,6/19/2015,
,0.2699,0.0900,Regular,Quarterly,3/23/2015,3/25/2015,3/27/2015,3/20/2015,
2014,,,,,,,,,
,0.2754,0.0918,Regular,Quarterly,12/22/2014,12/24/2014,12/29/2014,12/19/2014,
,0.2544,0.0848,Regular,Quarterly,9/22/2014,9/24/2014,9/26/2014,9/19/2014,
,0.2693,0.0898,Regular,Quarterly,6/23/2014,6/25/2014,6/27/2014,6/20/2014,
,0.2478,0.0826,Regular,Quarterly,3/24/2014,3/26/2014,3/28/2014,3/21/2014,
2013,,,,,,,,,
,0.2489,0.0830,Regular,Quarterly,12/23/2013,12/26/2013,12/30/2013,12/20/2013,
