Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.3460,0.3460,Regular,Monthly,4/1/2025,4/1/2025,4/4/2025,7/4/2024,
,0.3133,0.3133,Regular,Monthly,3/3/2025,3/3/2025,3/6/2025,7/4/2024,
,0.3634,0.3634,Regular,Monthly,2/3/2025,2/3/2025,2/6/2025,7/4/2024,
2024,,,,,,,,,
,0.3720,0.3720,Regular,Monthly,12/18/2024,12/18/2024,12/23/2024,11/28/2023,
,0.3777,0.3777,Regular,Monthly,12/2/2024,12/2/2024,12/5/2024,11/28/2023,
,0.4152,0.4152,Regular,Monthly,11/1/2024,11/1/2024,11/6/2024,11/28/2023,
,0.4296,0.4296,Regular,Monthly,10/1/2024,10/1/2024,10/4/2024,11/28/2023,
,0.4435,0.4435,Regular,Monthly,9/3/2024,9/3/2024,9/6/2024,11/28/2023,
,0.4532,0.4532,Regular,Monthly,8/1/2024,8/1/2024,8/6/2024,11/28/2023,
,0.4388,0.4388,Regular,Monthly,7/1/2024,7/1/2024,7/5/2024,11/28/2023,
,0.4397,0.4397,Regular,Monthly,6/3/2024,6/3/2024,6/7/2024,11/28/2023,
,0.4276,0.4276,Regular,Monthly,5/1/2024,5/2/2024,5/7/2024,11/28/2023,
,0.4499,0.4499,Regular,Monthly,4/1/2024,4/2/2024,4/5/2024,11/28/2023,
,0.4097,0.4097,Regular,Monthly,3/1/2024,3/4/2024,3/7/2024,11/28/2023,
,0.4581,0.4581,Regular,Monthly,2/1/2024,2/2/2024,2/7/2024,11/28/2023,
2023,,,,,,,,,
,0.4545,0.4545,Regular,Monthly,12/14/2023,12/15/2023,12/20/2023,11/24/2022,
,0.4432,0.4432,Regular,Monthly,12/1/2023,12/4/2023,12/7/2023,11/24/2022,
,0.4270,0.4270,Regular,Monthly,11/1/2023,11/2/2023,11/7/2023,11/24/2022,
,0.4118,0.4118,Regular,Monthly,10/2/2023,10/3/2023,10/6/2023,11/24/2022,
,0.4306,0.4306,Regular,Monthly,9/1/2023,9/5/2023,9/8/2023,11/24/2022,
,0.4415,0.4415,Regular,Monthly,8/1/2023,8/2/2023,8/7/2023,11/24/2022,
,0.4166,0.4166,Regular,Monthly,7/3/2023,7/5/2023,7/10/2023,11/24/2022,
,0.4320,0.4320,Regular,Monthly,6/1/2023,6/2/2023,6/7/2023,11/24/2022,
,0.3921,0.3921,Regular,Monthly,5/1/2023,5/2/2023,5/5/2023,4/28/2023,
,0.3616,0.3616,Regular,Monthly,4/3/2023,4/4/2023,4/7/2023,3/31/2023,
,0.2780,0.2780,Regular,Monthly,3/1/2023,3/2/2023,3/7/2023,11/24/2022,
,0.3936,0.3936,Regular,Monthly,2/1/2023,2/2/2023,2/7/2023,11/24/2022,
2022,,,,,,,,,
,0.3267,0.3267,Regular,Monthly,12/15/2022,12/16/2022,12/21/2022,12/14/2021,
,0.2835,0.2835,Regular,Monthly,12/1/2022,12/2/2022,12/7/2022,12/14/2021,
,0.2406,0.2406,Regular,Monthly,11/1/2022,11/2/2022,11/7/2022,12/14/2021,
,0.1566,0.1566,Regular,Monthly,10/3/2022,10/4/2022,10/7/2022,12/14/2021,
,0.1680,0.1680,Regular,Monthly,9/1/2022,9/2/2022,9/8/2022,12/14/2021,
