Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,0.4325,0.4325,Regular,Quarterly,3/20/2025,3/20/2025,4/3/2025,3/6/2025,
2024,,,,,,,,,
,0.4325,0.4325,Regular,Quarterly,12/17/2024,12/17/2024,1/9/2025,12/5/2024,
,0.4325,0.4325,Regular,Quarterly,9/18/2024,9/18/2024,10/3/2024,9/5/2024,
,0.4150,0.4150,Regular,Quarterly,6/18/2024,6/18/2024,7/3/2024,6/7/2024,
,0.4150,0.4150,Regular,Quarterly,3/20/2024,3/21/2024,4/4/2024,3/7/2024,
2023,,,,,,,,,
,0.4150,0.4150,Regular,Quarterly,12/20/2023,12/21/2023,1/4/2024,12/7/2023,
,0.4150,0.4150,Regular,Quarterly,9/20/2023,9/21/2023,10/5/2023,9/7/2023,
,0.3900,0.3900,Regular,Quarterly,6/21/2023,6/22/2023,7/6/2023,6/8/2023,
,0.3900,0.3900,Regular,Quarterly,3/22/2023,3/23/2023,4/6/2023,3/9/2023,
2022,,,,,,,,,
,0.3900,0.3900,Regular,Quarterly,12/21/2022,12/22/2022,1/5/2023,12/8/2022,
,0.3900,0.3900,Regular,Quarterly,9/21/2022,9/22/2022,10/6/2022,9/8/2022,
,0.3600,0.3600,Regular,Quarterly,6/22/2022,6/23/2022,7/7/2022,6/9/2022,
,0.3600,0.3600,Regular,Quarterly,3/23/2022,3/24/2022,4/7/2022,3/10/2022,
2021,,,,,,,,,
,0.3600,0.3600,Regular,Quarterly,12/22/2021,12/23/2021,1/6/2022,12/9/2021,
,0.3600,0.3600,Regular,Quarterly,9/23/2021,9/24/2021,10/7/2021,8/4/2021,
,0.3300,0.3300,Regular,Quarterly,6/23/2021,6/24/2021,7/8/2021,6/10/2021,
,0.3300,0.3300,Regular,Quarterly,3/24/2021,3/25/2021,4/8/2021,3/11/2021,
2020,,,,,,,,,
,0.3300,0.3300,Regular,Quarterly,12/22/2020,12/23/2020,1/7/2021,12/10/2020,
,0.3300,0.3300,Regular,Quarterly,9/29/2020,9/30/2020,10/8/2020,9/10/2020,
,0.2975,0.2975,Regular,Quarterly,6/29/2020,6/30/2020,7/10/2020,6/11/2020,
,0.2975,0.2975,Regular,Quarterly,3/30/2020,3/31/2020,4/9/2020,3/12/2020,
2019,,,,,,,,,
,0.2975,0.2975,Regular,Quarterly,12/26/2019,12/27/2019,1/9/2020,12/12/2019,
,0.2975,0.2975,Regular,Quarterly,9/26/2019,9/27/2019,10/10/2019,9/12/2019,
,0.2875,0.2875,Regular,Quarterly,6/27/2019,6/28/2019,7/12/2019,6/13/2019,
,0.2875,0.2875,Regular,Quarterly,3/28/2019,3/29/2019,4/11/2019,3/14/2019,
2018,,,,,,,,,
,0.2875,0.2875,Regular,Quarterly,12/27/2018,12/28/2018,1/10/2019,12/13/2018,
,0.2875,0.2875,Regular,Quarterly,9/27/2018,9/28/2018,10/11/2018,9/17/2018,
,0.2625,0.2625,Regular,Quarterly,6/27/2018,6/28/2018,7/13/2018,6/14/2018,
,0.1600,0.1600,Regular,Other,3/28/2018,3/29/2018,4/13/2018,3/15/2018,
